Quarter,Time,Tm,Detail,JAX,TEN
1.0,9:09,Titans,Derrick Henry 3 yard rush (Randy Bullock kick),0,7
,6:01,Jaguars,Evan Engram 12 yard pass from Trevor Lawrence (Riley Patterson kick),7,7
,3:03,Titans,Chigoziem Okonkwo 10 yard pass from Ryan Tannehill (Randy Bullock kick),7,14
2.0,8:52,Jaguars,Riley Patterson 37 yard field goal,10,14
,3:10,Jaguars,Riley Patterson 43 yard field goal,13,14
,0:14,Jaguars,Zay Jones 20 yard pass from Trevor Lawrence (Riley Patterson kick),20,14
3.0,7:53,Jaguars,Trevor Lawrence 1 yard rush (Riley Patterson kick),27,14
,3:07,Jaguars,Evan Engram 21 yard pass from Trevor Lawrence (pass failed),33,14
4.0,10:52,Jaguars,Riley Patterson 33 yard field goal,36,14
,7:15,Titans,Nick Westbrook-Ikhine 2 yard pass from Ryan Tannehill (Chigoziem Okonkwo pass from Ryan Tannehill),36,22
