Unnamed: 0,CIN,PIT
First Downs,18,23
Rush-Yds-TDs,25-113-0,25-85-1
Cmp-Att-Yd-TD-INT,18-32-271-3-0,29-44-335-1-1
Sacked-Yards,1-5,6-36
Net Pass Yards,266,299
Total Yards,379,384
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,6-55,7-70
Third Down Conv.,6-12,11-17
Fourth Down Conv.,0-1,1-1
Time of Possession,26:47,33:13
