Unnamed: 0,NWE,BUF
First Downs,32,8
Rush-Yds-TDs,41-159-2,12-14-0
Cmp-Att-Yd-TD-INT,30-40-336-2-2,10-27-181-1-3
Sacked-Yards,1-1,2-12
Net Pass Yards,335,169
Total Yards,494,183
Fumbles-Lost,0-0,0-0
Turnovers,2,3
Penalties-Yards,9-83,7-50
Third Down Conv.,11-16,2-10
Fourth Down Conv.,0-1,0-0
Time of Possession,41:59,18:01
