Quarter,Time,Tm,Detail,BUF,TAM
1.0,14:42,Buccaneers,Bobby Rainey 80 yard rush (Rian Lindell kick),0,7
,8:07,Bills,Dan Carpenter 40 yard field goal,3,7
,2:34,Buccaneers,Vincent Jackson 38 yard pass from Mike Glennon (Rian Lindell kick),3,14
2.0,10:45,Buccaneers,Rian Lindell 53 yard field goal,3,17
,0:15,Buccaneers,Tim Wright 5 yard pass from Mike Glennon (Rian Lindell kick),3,24
3.0,10:19,Bills,Dan Carpenter 46 yard field goal,6,24
,0:07,Buccaneers,Rian Lindell 32 yard field goal,6,27
