Quarter,Time,Down,ToGo,Location,BUF,TAM,Detail,EPB,EPA
1,10:25,1,10,TAM 33,0,7,C.J. Spiller right guard for 2 yards (tackle by Lavonte David and Mason Foster),3.380,3.110
1,9:45,2,8,TAM 31,0,7,EJ Manuel pass complete short right to Scott Chandler for 15 yards (tackle by Mark Barron),3.110,4.510
1,9:24,1,10,TAM 16,0,7,Fred Jackson right guard for 4 yards (tackle by Mason Foster),4.510,4.570
1,8:57,2,6,TAM 12,0,7,EJ Manuel sacked by Lavonte David for -10 yards,4.570,2.480
1,8:19,3,16,TAM 22,0,7,EJ Manuel pass incomplete deep left intended for Steve Johnson,2.480,1.990
1,8:12,4,16,TAM 22,3,7,Dan Carpenter 40 yard field goal good,1.990,3.000
1,8:12,,,BUF 35,3,7,"Dan Carpenter kicks off 73 yards, touchback",0.000,-0.280
1,8:07,1,10,TAM 20,3,7,Bobby Rainey left tackle for 3 yards (tackle by Manny Lawson),0.280,0.140
1,7:32,2,7,TAM 23,3,7,Bobby Rainey left tackle for 8 yards (tackle by Nigel Bradham),0.140,1.000
1,6:53,1,10,TAM 31,3,7,Mike Glennon pass complete short left to Vincent Jackson for 10 yards (tackle by Stephon Gilmore),1.000,1.660
1,6:21,1,10,TAM 41,3,7,Bobby Rainey right tackle for 5 yards (tackle by Manny Lawson and Aaron Williams),1.660,1.800
1,5:45,2,5,TAM 46,3,7,Bobby Rainey left tackle for -2 yards (tackle by Stefan Charles),1.800,0.830
1,5:07,3,7,TAM 44,3,7,Mike Glennon pass complete deep right to Vincent Jackson for 22 yards (tackle by Leodis McKelvin),0.830,0.830
1,4:32,3,7,TAM 44,3,7,Timeout #1 by Buffalo Bills,0.830,3.310
1,4:32,1,10,BUF 34,3,7,Mike Glennon pass complete short middle to Bobby Rainey for 4 yards (tackle by Manny Lawson),3.310,3.310
1,3:51,2,6,BUF 30,3,7,Bobby Rainey left guard for 2 yards (tackle by Jerry Hughes),3.310,2.870
1,3:19,3,4,BUF 28,3,7,"Mike Glennon pass complete short middle to Skye Dawson for 6 yards (tackle by Nickell Robey). Penalty on Jeremy Zuttah: Offensive Holding, 10 yards (no play)",2.870,1.550
1,2:47,3,14,BUF 38,3,13,"Mike Glennon pass complete deep right to Vincent Jackson for 38 yards, touchdown. Penalty on Nickell Robey: Defensive Pass Interference (Declined)",1.550,7.000
1,2:47,,,BUF 2,3,14,Rian Lindell kicks extra point good,0.000,0.000
1,2:47,,,TAM 35,3,14,"Michael Koenen kicks off 49 yards, returned by Robert Woods for 9 yards (tackle by Keith Tandy)",0.000,-0.610
1,2:29,1,10,BUF 25,3,14,EJ Manuel sacked by Mark Barron for -1 yards,0.610,-0.070
1,2:04,2,11,BUF 24,3,14,EJ Manuel pass incomplete short middle intended for Steve Johnson (defended by Dashon Goldson),-0.070,-0.760
1,1:56,3,11,BUF 24,3,14,EJ Manuel sacked by Da'Quan Bowers and William Gholston for -2 yards,-0.760,-1.900
1,1:24,4,13,BUF 22,3,14,"Brian Moorman punts 42 yards, returned by Eric Page for 10 yards (tackle by Ron Brooks)",-1.900,-1.990
1,1:10,1,10,TAM 46,3,14,Mike Glennon pass incomplete short left intended for Tim Wright,1.990,1.450
1,1:04,2,10,TAM 46,3,14,Bobby Rainey right tackle for -1 yards (tackle by Ty Powell and Kiko Alonso),1.450,0.630
1,0:32,3,11,TAM 45,3,14,Mike Glennon pass incomplete short right intended for Tiquan Underwood,0.630,-0.390
1,0:29,4,11,TAM 45,3,14,"Michael Koenen punts 36 yards, fair catch by Leodis McKelvin",-0.390,-0.150
1,0:22,1,10,BUF 19,3,14,EJ Manuel for 7 yards,0.150,0.610
Quarter,Time,Down,ToGo,Location,BUF,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,BUF 26,3,14,EJ Manuel pass complete short left to Steve Johnson for 11 yards (tackle by Leonard Johnson),0.610,1.400
2,14:33,1,10,BUF 37,3,14,C.J. Spiller left end for 7 yards (tackle by William Gholston),1.400,1.800
2,14:07,2,3,BUF 44,3,14,EJ Manuel pass incomplete short middle intended for Steve Johnson is intercepted by Lavonte David at TAM-41 and returned for 25 yards,1.800,-3.310
2,13:56,1,10,BUF 34,3,14,Mike Glennon pass incomplete deep left intended for Tiquan Underwood,3.310,2.770
2,13:47,2,10,BUF 34,3,14,Bobby Rainey right tackle for 1 yard (tackle by Corbin Bryant). Penalty on TAM: Illegal Shift (Declined),2.770,2.210
2,13:29,3,9,BUF 33,3,14,Mike Glennon pass incomplete short right intended for Vincent Jackson is intercepted by Jairus Byrd at BUF-20 and returned for 19 yards (tackle by Chris Owusu),2.210,-1.530
2,13:16,1,10,BUF 39,3,14,"C.J. Spiller left end for 7 yards (tackle by Mark Barron). Penalty on Marquise Goodwin: Offensive Holding, 10 yards",1.530,1.330
2,13:03,1,13,BUF 36,3,14,EJ Manuel pass complete short middle to Robert Woods for 7 yards (tackle by Lavonte David),1.330,1.530
2,12:28,2,6,BUF 43,3,14,EJ Manuel pass incomplete deep middle intended for T.J. Graham is intercepted by Johnthan Banks at TAM-41 and returned for 18 yards (tackle by Fred Jackson),1.530,-2.850
2,12:17,1,10,BUF 41,3,14,Bobby Rainey left guard for 3 yards (tackle by Aaron Williams),2.850,2.710
2,11:38,2,7,BUF 38,3,14,Mike Glennon pass incomplete short right intended for Erik Lorig,2.710,2.020
2,11:33,3,7,BUF 38,3,14,Mike Glennon pass complete short middle to Skye Dawson for 3 yards (tackle by Nickell Robey),2.020,0.980
2,10:52,4,4,BUF 35,3,17,Rian Lindell 53 yard field goal good,0.980,3.000
2,10:52,,,TAM 35,3,17,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
2,10:45,1,10,BUF 20,3,17,EJ Manuel pass incomplete short right intended for Steve Johnson (defended by William Gholston),0.280,-0.270
2,10:41,2,10,BUF 20,3,17,C.J. Spiller left end for -1 yards (tackle by Dekoda Watson and William Gholston),-0.270,-1.140
2,10:02,3,11,BUF 19,3,17,EJ Manuel sacked by Darrelle Revis for -6 yards,-1.140,-2.490
2,9:25,4,17,BUF 13,3,17,"Brian Moorman punts 41 yards, fair catch by Eric Page",-2.490,-1.990
2,9:15,1,10,TAM 46,3,17,Bobby Rainey up the middle for 1 yard (tackle by Kyle Williams and Jairus Byrd),1.990,1.590
2,8:44,2,9,TAM 47,3,17,Bobby Rainey up the middle for 3 yards (tackle by Manny Lawson),1.590,1.290
2,8:03,3,6,,3,17,Mike Glennon pass incomplete short left intended for Tim Wright (defended by Mario Williams),1.290,-0.060
2,7:55,4,6,,3,17,"Michael Koenen punts 30 yards, muffed catch by Leodis McKelvin, recovered by Dashon Goldson and returned for no gain",-0.060,4.170
2,7:44,1,10,BUF 21,3,17,Bobby Rainey up the middle for 1 yard (tackle by Nigel Bradham),4.170,3.760
2,7:07,2,9,BUF 20,3,17,Mike Glennon pass incomplete deep left intended for Vincent Jackson is intercepted by Stephon Gilmore at BUF-3,3.760,0.380
2,7:00,1,10,BUF 3,3,17,"Penalty on Akeem Spence: Neutral Zone Infraction, 5 yards (no play)",-0.380,-0.190
2,7:00,1,5,BUF 8,3,17,C.J. Spiller up the middle for no gain (tackle by Mason Foster),-0.190,-0.420
2,6:24,2,5,BUF 8,3,17,EJ Manuel pass complete short middle to Steve Johnson for 7 yards (tackle by Lavonte David),-0.420,-0.220
2,5:47,1,10,BUF 15,3,17,EJ Manuel pass incomplete short right intended for Steve Johnson,-0.220,-0.710
2,5:39,2,10,BUF 15,3,17,Fred Jackson left tackle for 4 yards (tackle by Gerald McCoy),-0.710,-0.880
2,4:59,3,6,BUF 19,3,17,EJ Manuel pass incomplete short middle intended for T.J. Graham,-0.880,-2.140
2,4:54,4,6,BUF 19,3,17,"Brian Moorman punts 38 yards, fair catch by Eric Page",-2.140,-1.800
2,4:46,1,10,TAM 43,3,17,Mike Glennon pass incomplete deep left intended for Skye Dawson (defended by Stephon Gilmore),1.800,1.250
2,4:39,2,10,TAM 43,3,17,Brian Leonard up the middle for 5 yards (tackle by Alan Branch and Manny Lawson),1.250,1.220
2,4:39,3,5,TAM 48,3,17,"Penalty on Jerry Hughes: Neutral Zone Infraction, 5 yards (no play)",1.220,2.460
2,3:34,1,10,BUF 47,3,17,Brian Leonard right tackle for 12 yards (tackle by Jairus Byrd),2.460,3.250
2,2:55,1,10,BUF 35,3,17,Eric Page right end for -5 yards (tackle by Kyle Williams),3.250,2.030
2,2:08,2,15,BUF 40,3,17,Mike Glennon pass incomplete short middle intended for Tiquan Underwood,2.030,1.350
2,2:04,3,15,BUF 40,3,17,"Mike Glennon pass incomplete short left intended for Tim Wright (defended by Nickell Robey). Penalty on Jairus Byrd: Roughing the Passer, 15 yards (no play)",1.350,3.910
2,2:00,1,10,BUF 25,3,17,Brian Leonard left end for no gain (tackle by Stefan Charles),3.910,3.360
2,1:24,2,10,BUF 25,3,17,Brian Leonard right guard for 4 yards (tackle by Mario Williams),3.360,3.200
2,0:44,3,6,BUF 21,3,17,Mike Glennon pass complete short middle to Tim Wright for 16 yards (tackle by Nickell Robey),3.200,3.200
2,0:37,3,6,BUF 21,3,17,Timeout #1 by Tampa Bay Buccaneers,3.200,6.060
2,0:37,1,5,BUF 5,3,17,Mike Glennon pass complete short middle to Bobby Rainey for no gain,6.060,6.060
2,0:20,1,5,BUF 5,3,17,Timeout #2 by Tampa Bay Buccaneers,6.060,5.150
2,0:20,2,5,BUF 5,3,23,"Mike Glennon pass complete short middle to Tim Wright for 5 yards, touchdown",5.150,7.000
2,0:20,,,BUF 2,3,24,Rian Lindell kicks extra point good,0.000,0.000
2,0:20,,,TAM 35,3,24,"Michael Koenen kicks off 58 yards, returned by Marquise Goodwin for 8 yards (tackle by Kelcie McCray)",0.000,0.220
2,0:07,1,10,BUF 15,3,24,EJ Manuel kneels for -4 yards,-0.220,-1.070
Quarter,Time,Down,ToGo,Location,BUF,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,3,24,"Michael Koenen kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,BUF 20,3,24,C.J. Spiller left end for -1 yards (tackle by Adrian Clayborn and Akeem Spence),0.280,-0.460
3,14:31,2,11,BUF 19,3,24,"EJ Manuel pass incomplete short right intended for Robert Woods. Penalty on Leonard Johnson: Defensive Pass Interference, 6 yards (no play)",-0.460,0.610
3,14:27,1,10,BUF 25,3,24,C.J. Spiller right guard for 1 yard (tackle by Lavonte David),0.610,0.200
3,14:03,2,9,BUF 26,3,24,EJ Manuel up the middle for 10 yards (tackle by Lavonte David),0.200,1.330
3,13:45,1,10,BUF 36,3,24,Fred Jackson right guard for 3 yards (tackle by Gerald McCoy),1.330,1.200
3,13:11,2,7,BUF 39,3,24,EJ Manuel pass complete deep middle to Steve Johnson for 33 yards (tackle by Mark Barron),1.200,3.710
3,12:37,1,10,TAM 28,3,24,"EJ Manuel pass complete short left to T.J. Graham for 9 yards (tackle by Darrelle Revis). Penalty on Kraig Urbik: Offensive Holding, 10 yards (no play)",3.710,3.050
3,12:24,1,20,TAM 38,3,24,EJ Manuel pass complete short left to Ronnie Wingo for 2 yards (tackle by Lavonte David and Leonard Johnson),3.050,2.090
3,11:53,2,18,TAM 36,3,24,EJ Manuel pass complete short right to Chris Hogan for 12 yards (tackle by Mason Foster),2.090,3.010
3,11:15,3,6,TAM 24,3,24,EJ Manuel sacked by William Gholston for -9 yards,3.010,1.150
3,10:35,4,15,TAM 33,3,24,"Penalty on Adrian Clayborn: Encroachment, 5 yards (no play)",1.150,1.590
3,10:25,4,10,TAM 28,6,24,Dan Carpenter 46 yard field goal good,1.590,3.000
3,10:25,,,BUF 35,6,24,"Dan Carpenter kicks off 65 yards, returned by Eric Page for 20 yards (tackle by Ty Powell)",0.000,-0.280
3,10:11,1,10,TAM 20,6,24,Bobby Rainey right end for 2 yards (tackle by Nigel Bradham and Marcell Dareus),0.280,0.000
3,9:28,2,8,TAM 22,6,24,Bobby Rainey left tackle for 3 yards (tackle by Nickell Robey),0.000,-0.300
3,8:46,3,5,TAM 25,6,24,Mike Glennon sacked by Marcell Dareus for -9 yards,-0.300,-2.390
3,8:14,4,14,TAM 16,6,24,"Michael Koenen punts 52 yards, returned by Leodis McKelvin for 21 yards (tackle by Brian Leonard)",-2.390,-2.460
3,8:01,1,10,TAM 47,6,24,EJ Manuel pass complete short left to Scott Chandler for 9 yards (tackle by Mason Foster),2.460,3.130
3,7:35,2,1,TAM 38,6,24,C.J. Spiller left end for no gain (tackle by Darrelle Revis),3.130,2.410
3,7:13,3,1,TAM 38,6,24,EJ Manuel pass complete short left to Lee Smith for 7 yards (tackle by Lavonte David),2.410,3.510
3,6:42,1,10,TAM 31,6,24,Fred Jackson up the middle for no gain (tackle by Gerald McCoy),3.510,2.970
3,6:13,2,10,TAM 31,6,24,EJ Manuel pass incomplete short middle intended for Steve Johnson is intercepted by Mason Foster at TAM-21,2.970,-0.340
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
3,6:06,1,10,TAM 21,6,24,Bobby Rainey left end for -3 yards (tackle by Manny Lawson),0.340,-0.700
3,5:26,2,13,TAM 18,6,24,"Mike Glennon pass incomplete deep right intended for Vincent Jackson. Penalty on Leodis McKelvin: Defensive Pass Interference, 29 yards (no play)",-0.700,-0.700
3,5:19,2,13,TAM 18,6,24,Timeout #1 by Tampa Bay Buccaneers,-0.700,2.060
3,5:19,1,10,TAM 47,6,24,Bobby Rainey up the middle for 3 yards (tackle by Kiko Alonso),2.060,1.920
3,4:37,2,7,,6,24,Mike Glennon pass complete short left to Bobby Rainey for -8 yards (tackle by Kiko Alonso),1.920,0.170
3,3:52,3,15,TAM 42,6,24,Mike Glennon pass incomplete short left intended for Skye Dawson,0.170,-0.590
3,3:48,4,15,TAM 42,6,24,"Michael Koenen punts 58 yards, touchback",-0.590,-0.280
3,3:39,1,10,BUF 20,6,24,C.J. Spiller left tackle for 3 yards (tackle by Mason Foster and Adrian Clayborn),0.280,0.140
3,3:12,2,7,BUF 23,6,24,"EJ Manuel pass complete short right to Steve Johnson for 13 yards (tackle by Mason Foster). Penalty on Leonard Johnson: Face Mask (15 Yards) (Offsetting), Penalty on Erik Pears: Face Mask (15 Yards) (Offsetting) (no play)",0.140,0.140
3,2:53,2,7,BUF 23,6,24,EJ Manuel pass complete short left to Fred Jackson for 10 yards (tackle by Darrelle Revis),0.140,1.140
3,2:26,1,10,BUF 33,6,24,C.J. Spiller left tackle for 4 yards (tackle by Adrian Clayborn),1.140,1.130
3,1:56,2,6,BUF 37,6,24,EJ Manuel pass complete short middle to Robert Woods for 9 yards (tackle by Mason Foster),1.130,1.990
,,,,,,,"BUF challenged the pass completion ruling, and the original play was overturned.",,
3,1:47,1,10,BUF 46,6,24,"Penalty on Eric Wood: False Start, 5 yards (no play)",1.990,1.660
3,1:33,1,15,BUF 41,6,24,"Penalty on Erik Pears: False Start, 5 yards (no play)",1.660,1.330
3,1:21,1,20,BUF 36,6,24,EJ Manuel pass incomplete short left intended for Robert Woods is intercepted by Lavonte David at BUF-44 and returned for 32 yards (tackle by Marquise Goodwin),1.330,-4.780
3,1:01,1,10,BUF 12,6,24,Bobby Rainey left tackle for 3 yards (tackle by Nigel Bradham),4.780,4.640
3,0:24,2,7,BUF 9,6,24,Mike Glennon pass incomplete short left intended for Tiquan Underwood (defended by Leodis McKelvin),4.640,4.640
3,0:17,2,7,BUF 9,6,24,Timeout #2 by Tampa Bay Buccaneers,4.640,3.700
3,0:17,3,7,BUF 9,6,24,"Penalty on Jeremy Zuttah: False Start, 5 yards (no play)",3.700,3.060
3,0:17,3,12,BUF 14,6,24,Mike Glennon pass incomplete short middle intended for Vincent Jackson,3.060,2.510
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
3,0:11,4,12,BUF 14,6,27,Rian Lindell 32 yard field goal good,2.510,3.000
3,0:11,,,TAM 35,6,27,"Michael Koenen kicks off 70 yards, returned by Marquise Goodwin for 18 yards (tackle by Kelcie McCray)",0.000,0.320
Quarter,Time,Down,ToGo,Location,BUF,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 13,6,27,EJ Manuel pass complete short middle to Fred Jackson for 14 yards (tackle by Adam Hayward),-0.320,0.740
4,14:32,1,10,BUF 27,6,27,"Fred Jackson up the middle for 4 yards (tackle by Mark Barron and Darrelle Revis). Penalty on Cordy Glenn: Offensive Holding, 10 yards (no play)",0.740,-0.170
4,14:25,1,20,BUF 17,6,27,"EJ Manuel pass complete short left to C.J. Spiller for 26 yards. Penalty on Robert Woods: Offensive Holding, 10 yards",-0.170,1.620
4,14:08,1,4,BUF 33,6,27,EJ Manuel pass complete short right to Steve Johnson for 6 yards (tackle by Dashon Goldson),1.620,1.530
4,13:42,1,10,BUF 39,6,27,EJ Manuel pass incomplete short right intended for Fred Jackson,1.530,0.990
4,13:36,2,10,BUF 39,6,27,EJ Manuel pass incomplete deep right intended for Scott Chandler,0.990,0.300
4,13:31,3,10,BUF 39,6,27,EJ Manuel pass incomplete short right intended for Fred Jackson,0.300,-0.780
4,13:26,4,10,BUF 39,6,27,"Brian Moorman punts 42 yards, fair catch by Eric Page",-0.780,-0.150
4,13:18,1,10,TAM 19,6,27,Bobby Rainey up the middle for 9 yards (tackle by Jairus Byrd),0.150,0.880
4,12:39,2,1,TAM 28,6,27,Mike Glennon pass incomplete short left intended for Bobby Rainey,0.880,0.100
4,12:31,3,1,TAM 28,6,27,Bobby Rainey left tackle for -1 yards (tackle by Mario Williams and Arthur Moats),0.100,-1.570
4,11:48,4,2,TAM 27,6,27,"Michael Koenen punts 42 yards, out of bounds",-1.570,-1.000
4,11:40,1,10,BUF 31,6,27,EJ Manuel pass complete short right to Fred Jackson for -2 yards (tackle by Lavonte David and Gerald McCoy),1.000,0.190
4,11:07,2,12,BUF 29,6,27,"EJ Manuel for 3 yards. Penalty on Eric Wood: Offensive Holding, 10 yards (no play)",0.190,-1.220
4,10:50,2,22,BUF 19,6,27,EJ Manuel pass complete short right to Fred Jackson for 4 yards (tackle by Johnthan Banks),-1.220,-1.290
4,10:13,3,18,BUF 23,6,27,EJ Manuel up the middle for 8 yards (tackle by Dashon Goldson),-1.290,-1.310
4,9:35,4,10,BUF 31,6,27,Brian Moorman punts 50 yards,-1.310,-0.150
4,9:24,1,10,TAM 19,6,27,Bobby Rainey up the middle for 3 yards (tackle by Kyle Williams and Nigel Bradham),0.150,0.070
4,8:42,2,7,TAM 22,6,27,Brian Leonard up the middle for 1 yard (tackle by Marcell Dareus),0.070,-0.550
4,8:00,3,6,TAM 23,6,27,"Mike Glennon pass incomplete short left intended for Vincent Jackson. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",-0.550,0.810
4,7:55,1,10,TAM 28,6,27,Brian Leonard left guard for 2 yards (tackle by Alan Branch),0.810,0.530
4,7:13,2,8,TAM 30,6,27,"Mike Glennon for no gain. Jeremy Zuttah fumbles, recovered by Jeremy Zuttah at TAM-TB",0.530,0.530
4,6:30,2,8,TAM 30,6,27,Timeout #3 by Tampa Bay Buccaneers,0.530,-2.420
4,6:30,3,22,TAM 16,6,27,Brian Leonard up the middle for 2 yards (tackle by Kyle Williams),-2.420,-2.240
4,5:46,4,20,TAM 18,6,27,"Michael Koenen punts 44 yards, muffed catch by Leodis McKelvin, recovered by Da'Norris Searcy and returned for no gain",-2.240,-1.070
4,5:34,1,10,BUF 32,6,27,EJ Manuel sacked by Gerald McCoy for -2 yards,1.070,0.260
4,5:07,2,12,BUF 30,6,27,EJ Manuel sacked by Derek Landri for -7 yards,0.260,-1.350
4,4:37,3,19,BUF 23,6,27,EJ Manuel pass incomplete short right intended for Fred Jackson,-1.350,-1.830
4,4:32,4,19,BUF 23,6,27,"Brian Moorman punts 55 yards, returned by Eric Page for 11 yards (tackle by Ty Powell)",-1.830,-1.140
4,4:20,1,10,TAM 33,6,27,Bobby Rainey up the middle for 4 yards (tackle by Kiko Alonso and Kyle Williams),1.140,1.130
4,3:37,2,6,TAM 37,6,27,Michael Hill left tackle for 3 yards (tackle by Ty Powell and Nigel Bradham),1.130,0.830
4,2:54,3,3,TAM 40,6,27,Michael Hill left tackle for 10 yards (tackle by Jairus Byrd),0.830,2.260
4,2:09,1,10,,6,27,"Michael Hill right guard for 3 yards (tackle by Jerry Hughes). Penalty on Donald Penn: Unnecessary Roughness, 15 yards",2.260,0.090
4,2:00,2,22,TAM 38,6,27,Michael Hill left end for -1 yards (tackle by Jerry Hughes),0.090,-0.690
4,1:15,3,23,TAM 37,6,27,Michael Hill up the middle for 2 yards (tackle by Kiko Alonso),-0.690,-0.780
4,0:34,4,21,TAM 39,6,27,"Michael Koenen punts 46 yards, returned by Leodis McKelvin for 9 yards (tackle by Andrew Economos)",-0.780,-0.540
4,0:22,1,10,BUF 24,6,27,Ronnie Wingo right end for 4 yards (tackle by Dekoda Watson),0.540,0.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
