Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 74 yards, returned by Brandon Tate for 23 yards (tackle by Kelcie McCray)",0.000,0.280
1,14:56,1,10,CIN 14,0,0,Andy Dalton pass complete short left to A.J. Green for 8 yards (tackle by Cary Williams),-0.280,0.420
1,14:22,2,2,CIN 22,0,0,Andy Dalton right guard for 6 yards (tackle by Cliff Avril),0.420,0.810
1,13:42,1,10,CIN 28,0,0,Jeremy Hill left tackle for no gain (tackle by Ahtyba Rubin),0.810,0.260
1,13:11,2,10,CIN 28,0,0,Andy Dalton pass complete short right to A.J. Green for 14 yards (tackle by Richard Sherman),0.260,1.730
1,12:35,1,10,CIN 42,0,0,Jeremy Hill right guard for no gain (tackle by Jordan Hill),1.730,1.190
1,12:00,2,10,CIN 42,0,0,Andy Dalton pass complete deep middle to Marvin Jones for 44 yards (tackle by K.J. Wright),1.190,1.190
1,11:06,2,10,CIN 42,0,0,Timeout #1 by Cincinnati Bengals,1.190,4.650
1,11:06,1,10,SEA 14,0,6,"Andy Dalton pass complete short middle to Tyler Eifert for 14 yards, touchdown",4.650,7.000
1,11:06,,,SEA 14,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,11:06,,,CIN 35,0,7,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,11:02,1,10,SEA 20,0,7,Thomas Rawls left end for 7 yards (tackle by Adam Jones),0.280,0.680
1,10:33,2,3,SEA 27,0,7,Thomas Rawls right tackle for 2 yards (tackle by Rey Maualuga and Domata Peko),0.680,0.230
1,9:55,3,1,SEA 29,0,7,Thomas Rawls middle for 2 yards (tackle by Carlos Dunlap),0.230,1.000
1,9:15,1,10,SEA 31,0,7,Russell Wilson pass complete short left to Jimmy Graham for 4 yards (tackle by George Iloka),1.000,1.000
1,8:35,2,6,SEA 35,0,7,Thomas Rawls left guard for 23 yards (tackle by Reggie Nelson),1.000,2.790
1,7:57,1,10,CIN 42,0,7,Russell Wilson for 9 yards (tackle by A.J. Hawk),2.790,3.460
1,7:24,2,1,CIN 33,0,7,Rod Smith right guard for 3 yards (tackle by Rey Maualuga and Michael Johnson),3.460,3.580
1,6:39,1,10,CIN 30,6,7,"Russell Wilson pass complete deep right to Jermaine Kearse for 30 yards, touchdown",3.580,7.000
1,6:39,,,CIN 30,7,7,Steven Hauschka kicks extra point good,0.000,0.000
1,6:39,,,SEA 35,7,7,"Steven Hauschka kicks off 73 yards, returned by Brandon Tate for 19 yards (tackle by Kelcie McCray)",0.000,0.370
1,6:28,1,10,CIN 11,7,7,"Jeremy Hill left guard for 4 yards (tackle by Ahtyba Rubin and Bobby Wagner). Penalty on Tyler Kroft: Offensive Holding, 5 yards (no play)",-0.370,-0.570
1,6:00,1,15,CIN 6,7,7,Andy Dalton pass complete deep left to A.J. Green for 22 yards (tackle by Cary Williams),-0.570,0.810
1,5:26,1,10,CIN 28,7,7,"Andy Dalton pass complete deep left to A.J. Green for 72 yards. Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",0.810,-0.040
1,5:14,1,20,CIN 18,7,7,Jeremy Hill right tackle for 5 yards (tackle by Richard Sherman),-0.040,-0.410
1,4:38,2,15,CIN 23,7,7,Andy Dalton pass incomplete short middle intended for Tyler Eifert (defended by Bobby Wagner),-0.410,-1.090
1,4:34,3,15,CIN 23,7,7,Giovani Bernard left guard for 5 yards (tackle by Jordan Hill and Bruce Irvin),-1.090,-1.500
1,4:05,4,10,CIN 28,7,7,"Kevin Huber punts 47 yards, returned by Tyler Lockett for 12 yards (tackle by Paul Dawson)",-1.500,-1.400
1,3:52,1,10,SEA 37,7,7,Thomas Rawls left guard for 12 yards (tackle by Reggie Nelson and Rey Maualuga),1.400,2.190
1,3:19,1,10,SEA 49,7,7,Thomas Rawls right tackle for -1 yards (tackle by Brandon Thompson),2.190,1.510
1,2:43,2,11,SEA 48,7,7,Russell Wilson pass incomplete short right intended for Jimmy Graham,1.510,0.830
1,2:36,3,11,SEA 48,7,7,Russell Wilson pass complete short middle to Luke Willson for 8 yards (tackle by Darqueze Dennard),0.830,0.330
1,1:54,4,3,CIN 44,7,7,"Jon Ryan punts 44 yards, touchback",0.330,-0.280
1,1:46,1,10,CIN 20,7,7,Andy Dalton pass complete short left to Marvin Jones for 5 yards (tackle by Bobby Wagner),0.280,0.410
1,1:11,2,5,CIN 25,7,7,Andy Dalton pass incomplete short left intended for Tyler Eifert,0.410,-0.300
1,1:07,3,5,CIN 25,7,7,Andy Dalton pass complete deep middle to Mohamed Sanu for 21 yards (tackle by Cary Williams),-0.300,1.990
1,0:38,1,10,CIN 46,7,7,Andy Dalton pass complete short middle to Giovani Bernard for 8 yards (tackle by Bobby Wagner),1.990,2.530
1,0:01,2,2,SEA 46,7,7,"Penalty on Clint Boling: False Start, 5 yards (no play)",2.530,1.860
Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CIN 49,7,7,Andy Dalton pass incomplete short middle intended for Tyler Eifert,1.860,1.160
2,14:56,3,7,CIN 49,7,7,Andy Dalton pass complete short middle to A.J. Green for 9 yards (tackle by Richard Sherman),1.160,2.790
2,14:19,1,10,SEA 42,7,7,Andy Dalton pass complete short left to Marvin Jones for -2 yards (tackle by DeShawn Shead),2.790,1.970
2,13:41,2,12,SEA 44,7,7,Andy Dalton sacked by Cliff Avril for -7 yards,1.970,0.370
2,12:55,3,19,CIN 49,7,7,Andy Dalton pass incomplete short left intended for Giovani Bernard,0.370,-0.130
2,12:49,4,19,CIN 49,7,7,Kevin Huber punts 49 yards,-0.130,0.380
2,12:39,1,10,SEA 2,7,7,"Penalty on Justin Britt: False Start, 1 yards (no play)",-0.380,-0.420
2,12:39,1,11,SEA 1,7,7,Thomas Rawls right guard for 2 yards (tackle by Carlos Dunlap),-0.420,-0.710
2,12:03,2,9,SEA 3,7,7,Thomas Rawls left tackle for 3 yards (tackle by Geno Atkins),-0.710,-0.950
2,11:19,3,6,SEA 6,7,7,Russell Wilson pass complete short middle to Jermaine Kearse for 8 yards (tackle by Adam Jones and Vincent Rey),-0.950,-0.280
2,10:40,1,10,SEA 14,7,7,Thomas Rawls right guard for 3 yards (tackle by A.J. Hawk),-0.280,-0.370
2,10:02,2,7,SEA 17,7,7,Russell Wilson sacked by Adam Jones for -1 yards,-0.370,-1.160
