Unnamed: 0,SEA,CIN
First Downs,16,27
Rush-Yds-TDs,30-200-1,31-109-1
Cmp-Att-Yd-TD-INT,15-23-213-1-1,30-44-331-2-1
Sacked-Yards,4-16,4-21
Net Pass Yards,197,310
Total Yards,397,419
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,10-112,7-50
Third Down Conv.,5-13,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,30:35,40:49
