Quarter,Time,Tm,Detail,SEA,CIN
1,11:02,Bengals,Tyler Eifert 14 yard pass from Andy Dalton (Mike Nugent kick),0,7
,6:32,Seahawks,Jermaine Kearse 30 yard pass from Russell Wilson (Stephen Hauschka kick),7,7
2,0:00,Seahawks,Stephen Hauschka 24 yard field goal,10,7
3,8:38,Seahawks,Thomas Rawls 69 yard rush (Stephen Hauschka kick),17,7
,6:41,Seahawks,Bobby Wagner 23 yard defensive fumble return (Stephen Hauschka kick),24,7
4,12:18,Bengals,Tyler Eifert 10 yard pass from Andy Dalton (Mike Nugent kick),24,14
,3:38,Bengals,Andy Dalton 5 yard rush (Mike Nugent kick),24,21
,0:00,Bengals,Mike Nugent 31 yard field goal,24,24
OT,3:36,Bengals,Mike Nugent 42 yard field goal,24,27
