Unnamed: 0,CHI,NOR
First Downs,18,16
Rush-Yds-TDs,12-60-0,29-118-0
Cmp-Att-Yd-TD-INT,19-45-244-1-0,26-37-270-3-0
Sacked-Yards,6-58,1-6
Net Pass Yards,186,264
Total Yards,246,382
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,6-47,7-41
Third Down Conv.,2-12,8-17
Fourth Down Conv.,0-1,1-1
Time of Possession,23:46,36:14
