Quarter,Time,Tm,Detail,CHI,NOR
1.0,6:55,Bears,Dane Sanzenbacher 8 yard pass from Jay Cutler (Robbie Gould kick),7,0
,0:23,Saints,John Kasay 31 yard field goal,7,3
2.0,12:37,Saints,Devery Henderson 79 yard pass from Drew Brees (John Kasay kick),7,10
,5:52,Saints,John Kasay 29 yard field goal,7,13
,2:09,Saints,John Kasay 53 yard field goal,7,16
,0:00,Bears,Robbie Gould 42 yard field goal,10,16
3.0,12:15,Bears,Robbie Gould 38 yard field goal,13,16
,7:33,Saints,Robert Meachem 4 yard pass from Drew Brees (John Kasay kick),13,23
4.0,12:05,Saints,Darren Sproles 12 yard pass from Drew Brees (John Kasay kick),13,30
