Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jonathan Taylor,IND,8,19,0,2,10,1.3,9,1.1,0,
Zack Moss,IND,7,21,1,2,10,1.4,11,1.6,0,
Gardner Minshew II,IND,2,4,0,0,4,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Travis Etienne,JAX,18,55,2,5,24,1.3,31,1.7,0,
C.J. Beathard,JAX,3,-2,0,,-2,-0.7,0,0.0,0,
Tank Bigsby,JAX,3,2,0,1,-1,-0.3,3,1.0,0,
Trevor Lawrence,JAX,3,15,0,0,13,4.3,2,0.7,0,
D'Ernest Johnson,JAX,1,19,0,1,14,14.0,5,5.0,0,
Calvin Ridley,JAX,1,-4,0,0,-4,-4.0,0,0.0,0,
