Quarter,Time,Tm,Detail,MIA,GNB
1,11:58,Packers,Mason Crosby 46 yard field goal,0,3
,6:52,Dolphins,Davone Bess 2 yard pass from Chad Henne (Dan Carpenter kick),7,3
,1:03,Packers,Greg Jennings 86 yard pass from Aaron Rodgers (Mason Crosby kick),7,10
2,0:20,Dolphins,Dan Carpenter 53 yard field goal,10,10
3,7:42,Dolphins,Dan Carpenter 41 yard field goal,13,10
4,10:45,Packers,Mason Crosby 26 yard field goal,13,13
,5:20,Dolphins,Anthony Fasano 22 yard pass from Chad Henne (Dan Carpenter kick),20,13
,0:13,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),20,20
OT,9:01,Dolphins,Dan Carpenter 44 yard field goal,23,20
