Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
1,6:56,3,2,GNB 2,6,3,"Chad Henne pass complete short left to Davone Bess for 2 yards, touchdown",4.950,7.000
1,,,,GNB 2,7,3,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 30,7,3,"Dan Carpenter kicks off 65 yards, returned by Patrick Lee for 19 yards (tackle by Reshad Jones)",0.000,0.540
1,6:47,1,10,GNB 24,7,3,John Kuhn right tackle for 5 yards (tackle by Tony McDaniel),0.540,0.670
1,6:06,2,5,GNB 29,7,3,Brandon Jackson right end for 1 yard (tackle by Channing Crowder),0.670,0.100
1,5:25,3,4,GNB 30,7,3,Aaron Rodgers pass incomplete short middle intended for Greg Jennings (defended by Benny Sapp),0.100,-1.370
1,5:21,4,4,GNB 30,7,3,"Tim Masthay punts 41 yards, returned by Davone Bess for 12 yards (tackle by Brad Jones)",-1.370,-1.660
1,5:09,1,10,MIA 41,7,3,Chad Henne pass complete short left to Brandon Marshall for 5 yards (tackle by Tramon Williams),1.660,1.800
1,4:30,2,5,MIA 46,7,3,Chad Henne pass complete short right to Brandon Marshall for 5 yards (tackle by Tramon Williams),1.800,2.320
1,3:47,1,10,GNB 49,7,3,Ricky Williams middle for 6 yards (tackle by B.J. Raji),2.320,2.590
1,3:12,2,4,GNB 43,7,3,Ricky Williams middle for 9 yards (tackle by A.J. Hawk and Charlie Peprah),2.590,3.310
1,2:35,1,10,GNB 34,7,3,Lousaka Polite right guard for 4 yards (tackle by Desmond Bishop and A.J. Hawk),3.310,3.310
1,2:00,2,6,GNB 30,7,3,Chad Henne pass incomplete,3.310,2.610
1,1:56,3,6,GNB 30,7,3,Chad Henne pass complete short right to Brian Hartline for 9 yards (tackle by Sam Shields),2.610,4.170
1,1:22,,,,7,3,Timeout #1 by Miami Dolphins,0.000,4.170
1,1:17,1,10,GNB 21,7,3,Chad Henne pass incomplete short left intended for Brandon Marshall is intercepted by Tramon Williams at GNB-14,4.170,0.280
1,1:17,1,10,GNB 14,7,9,"Aaron Rodgers pass complete deep right to Greg Jennings for 86 yards, touchdown",-0.280,7.000
1,,,,MIA 2,7,10,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 30,7,10,"Mason Crosby kicks off 72 yards, returned by Nolan Carroll for 36 yards (tackle by Tramon Williams)",0.000,1.200
1,0:55,1,10,MIA 34,7,10,Ronnie Brown left guard for 5 yards (tackle by Charlie Peprah and Sam Shields),1.200,1.330
1,0:22,2,5,MIA 39,7,10,Ronnie Brown left guard for 3 yards (tackle by C.J. Wilson and A.J. Hawk),1.330,1.030
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,MIA 42,7,10,Ronnie Brown left end for -5 yards (tackle by Brad Jones),1.030,-0.910
2,14:16,4,7,MIA 37,7,10,Brandon Fields punts 29 yards,-0.910,-1.200
2,14:16,1,10,GNB 34,7,10,Aaron Rodgers pass incomplete deep left intended for Donald Driver,1.200,0.660
2,14:11,2,10,GNB 34,7,10,Aaron Rodgers pass complete short middle to Brandon Jackson for 2 yards (tackle by Channing Crowder),0.660,0.230
2,13:31,3,8,GNB 36,7,10,"Penalty on Daryn Colledge: False Start, 5 yards (no play)",0.230,-0.430
2,13:10,3,13,GNB 31,7,10,Aaron Rodgers pass complete short middle to Andrew Quarless for 23 yards (tackle by Koa Misi),-0.430,2.520
2,12:25,1,10,MIA 46,7,10,Aaron Rodgers sacked by Randy Starks for -5 yards,2.520,1.300
2,11:55,2,15,GNB 49,7,10,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,1.300,0.630
2,11:52,3,15,GNB 49,7,10,Aaron Rodgers pass incomplete short right intended for James Jones (defended by Jason Allen),0.630,-0.130
2,11:49,4,15,GNB 49,7,10,Tim Masthay punts 42 yards,-0.130,0.380
2,11:40,1,10,MIA 9,7,10,Chad Henne pass complete deep middle to Brandon Marshall for 18 yards (tackle by Tramon Williams),-0.380,0.740
2,11:02,1,10,MIA 27,7,10,Ricky Williams left tackle for 1 yard (tackle by C.J. Wilson),0.740,0.330
2,10:25,2,9,MIA 28,7,10,Chad Henne pass complete short right to Ricky Williams for -1 yards (tackle by B.J. Raji and Desmond Bishop),0.330,-0.490
2,9:39,3,10,MIA 27,7,10,Chad Henne pass complete short right to Davone Bess for 7 yards (tackle by Desmond Bishop and Brady Poppinga),-0.490,-1.110
2,9:07,4,3,MIA 34,7,10,"Brandon Fields punts 50 yards, muffed catch by Tramon Williams, recovered by Tramon Williams and returned for no gain",-1.110,0.060
2,8:56,1,10,GNB 17,7,10,Aaron Rodgers pass complete short left to Greg Jennings for 9 yards (tackle by Vontae Davis),-0.060,0.750
2,8:18,2,1,GNB 26,7,10,John Kuhn middle for 3 yards (tackle by Ikaika Alama-Francis),0.750,0.870
2,7:47,1,10,GNB 29,7,10,Brandon Jackson left end for 9 yards (tackle by Vontae Davis),0.870,1.540
2,7:12,,,,7,10,Timeout #2 by Miami Dolphins,0.000,1.540
2,7:12,2,1,GNB 38,7,10,Aaron Rodgers pass complete short right to Donald Driver for 8 yards (tackle by Koa Misi and Jason Allen),1.540,1.990
2,6:34,1,10,GNB 46,7,10,Brandon Jackson left end for 14 yards (tackle by Jason Allen and Yeremiah Bell),1.990,2.920
2,5:55,1,10,MIA 40,7,10,Aaron Rodgers pass complete short left to Brandon Jackson for 8 yards (tackle by Chris Clemons),2.920,3.450
2,5:24,2,2,MIA 32,7,10,Aaron Rodgers sacked by Cameron Wake for -12 yards,3.450,1.160
2,5:24,3,14,MIA 44,7,10,"Penalty on Josh Sitton: False Start, 5 yards (no play)",1.160,0.500
2,4:30,3,19,MIA 49,7,10,Aaron Rodgers left end for 6 yards (tackle by Tony McDaniel),0.500,0.400
2,3:58,4,13,MIA 43,7,10,Tim Masthay punts 31 yards,0.400,0.350
2,3:49,1,10,MIA 12,7,10,Chad Henne pass complete short middle to Brian Hartline for 6 yards (tackle by Brad Jones),-0.350,-0.070
2,3:16,2,4,MIA 18,7,10,Ronnie Brown middle for 4 yards (tackle by Brady Poppinga),-0.070,0.410
2,2:42,1,10,MIA 22,7,10,Chad Henne pass complete deep right to Brandon Marshall for 19 yards (tackle by Nick Collins),0.410,1.660
2,2:13,1,10,MIA 41,7,10,Ronnie Brown left guard for 3 yards (tackle by A.J. Hawk),1.660,1.530
2,2:00,2,7,MIA 44,7,10,Chad Henne pass incomplete,1.530,0.830
2,1:53,3,7,MIA 44,7,10,Chad Henne pass complete short middle to Davone Bess for 10 yards (tackle by Charlie Peprah),0.830,2.520
2,1:31,1,10,GNB 46,7,10,Chad Henne pass incomplete deep right intended for Davone Bess (defended by Nick Collins),2.520,1.980
2,1:26,,,,7,10,Timeout #3 by Miami Dolphins,0.000,1.980
2,1:26,2,10,GNB 46,7,10,Chad Henne pass incomplete short left intended for Anthony Fasano,1.980,1.290
2,1:21,3,10,GNB 46,7,10,Chad Henne right end for 10 yards (tackle by Desmond Bishop),1.290,3.180
2,0:57,1,10,GNB 36,7,10,Ronnie Brown middle for 11 yards (tackle by Charles Woodson and A.J. Hawk),3.180,3.910
2,0:42,1,10,GNB 25,7,10,Chad Henne spiked the ball,3.910,3.360
2,0:41,2,10,GNB 25,7,10,Chad Henne pass incomplete deep middle intended for Brandon Marshall,3.360,2.680
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:35,3,10,GNB 25,7,10,Chad Henne pass incomplete deep right intended for Brandon Marshall,2.680,1.800
2,0:30,4,10,GNB 25,7,10,"Dan Carpenter 43 yard field goal good. Penalty on Lydon Murtha: Offensive Holding, 10 yards (no play)",1.800,0.970
2,0:25,4,20,GNB 35,10,10,Dan Carpenter 53 yard field goal good,0.970,3.000
2,,,,MIA 30,10,10,"Dan Carpenter kicks off 65 yards, returned by Patrick Lee for 10 yards (tackle by Patrick Cobbs)",0.000,-0.220
2,0:20,1,10,GNB 15,10,10,Aaron Rodgers kneels for -1 yards,-0.220,-0.820
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,10,10,"Mason Crosby kicks off 68 yards, returned by Nolan Carroll for 16 yards (tackle by Korey Hall)",0.000,0.040
3,14:57,1,10,MIA 18,10,10,Ricky Williams right guard for 8 yards (tackle by C.J. Wilson),0.040,0.680
3,14:21,2,2,MIA 26,10,10,Ricky Williams middle for 4 yards (tackle by A.J. Hawk and C.J. Wilson),0.680,0.940
3,13:46,1,10,MIA 30,10,10,Ricky Williams left tackle for 4 yards (tackle by B.J. Raji),0.940,0.930
3,13:08,2,6,MIA 34,10,10,Chad Henne pass complete deep right to Brian Hartline for 19 yards (tackle by Charles Woodson),0.930,2.460
3,12:30,1,10,GNB 47,10,10,Ricky Williams right end for 2 yards (tackle by Desmond Bishop and Frank Zombo),2.460,2.180
3,11:47,2,8,GNB 45,10,10,Chad Henne pass complete short middle to Brandon Marshall for 8 yards (tackle by Sam Shields),2.180,3.120
3,11:10,1,10,GNB 37,10,10,Lousaka Polite right guard for 2 yards (tackle by Desmond Bishop and A.J. Hawk),3.120,2.840
3,10:32,2,8,GNB 35,10,10,Ricky Williams right tackle for 6 yards (tackle by A.J. Hawk),2.840,2.940
3,9:54,3,2,GNB 29,10,10,"Chad Henne pass incomplete deep right intended for Roberto Wallace. Penalty on Charles Woodson: Defensive Holding, 5 yards (no play)",2.940,3.970
3,9:50,1,10,GNB 24,10,10,Brian Hartline left end for -3 yards (tackle by Brad Jones),3.970,3.030
3,9:12,2,13,GNB 27,10,10,"Ricky Williams right tackle for 12 yards (tackle by Nick Collins). Penalty on Pat McQuistan: Offensive Holding, 10 yards (no play)",3.030,1.680
3,8:47,2,23,GNB 37,10,10,Chad Henne pass complete short left to Davone Bess for 10 yards (tackle by A.J. Hawk),1.680,2.350
3,8:04,3,13,GNB 27,10,10,Ronnie Brown for 4 yards (tackle by Charlie Peprah),2.350,1.930
3,7:46,4,9,GNB 23,13,10,Dan Carpenter 41 yard field goal good. Penalty on Jarrett Bush: Defensive Offside (Declined),1.930,3.000
3,,,,MIA 30,13,10,"Dan Carpenter kicks off 71 yards, returned by Patrick Lee for 24 yards (tackle by Bobby Carpenter)",0.000,0.480
3,7:37,1,10,GNB 23,13,10,Brandon Jackson left guard for 4 yards (tackle by Kendall Langford),0.480,0.470
3,7:01,2,6,GNB 27,13,10,Aaron Rodgers pass complete short right to Jordy Nelson for 13 yards,0.470,1.600
3,6:31,1,10,GNB 40,13,10,Aaron Rodgers pass incomplete,1.600,1.050
3,6:25,2,10,GNB 40,13,10,Aaron Rodgers pass incomplete short right intended for John Kuhn,1.050,0.370
3,6:21,3,10,GNB 40,13,10,Aaron Rodgers pass incomplete deep right intended for James Jones is intercepted by Jason Allen at MIA-41,0.370,-1.660
3,6:14,1,10,MIA 41,13,10,Chad Henne pass complete short middle to Lousaka Polite for no gain,1.660,1.120
3,5:36,2,10,MIA 41,13,10,Chad Henne pass complete short left to Brandon Marshall for 13 yards (tackle by Nick Collins),1.120,2.520
3,5:36,1,10,GNB 46,13,10,"Penalty on Richie Incognito: False Start, 5 yards (no play)",2.520,2.190
3,4:40,1,15,MIA 49,13,10,Ronnie Brown middle for 11 yards (tackle by Charlie Peprah and A.J. Hawk),2.190,2.790
3,4:05,2,4,GNB 40,13,10,Ronnie Brown right end for 4 yards (tackle by Brad Jones),2.790,3.180
3,3:38,1,10,GNB 36,13,10,Ronnie Brown left end for 2 yards (tackle by Desmond Bishop and Tramon Williams),3.180,2.910
3,3:00,2,8,GNB 34,13,10,Ricky Williams middle for 7 yards (tackle by Desmond Bishop),2.910,3.140
3,2:18,3,1,GNB 27,13,10,Lousaka Polite middle for no gain (tackle by Charles Woodson and A.J. Hawk),3.140,1.820
3,1:34,4,1,GNB 27,13,10,Ronnie Brown middle for no gain (tackle by Charlie Peprah),1.820,-0.670
,,,,,,,"MIA challenged the first down ruling, and the play was upheld.",,
3,1:26,1,10,GNB 26,13,10,Brandon Jackson left end for -1 yards (tackle by Kendall Langford),0.670,-0.010
3,0:47,2,11,GNB 25,13,10,Aaron Rodgers pass complete short right to Donald Driver for 15 yards (tackle by Karlos Dansby),-0.010,1.600
3,0:17,1,10,GNB 40,13,10,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,1.600,1.050
3,0:12,2,10,GNB 40,13,10,Aaron Rodgers sacked by Koa Misi for -1 yards,1.050,0.230
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,11,GNB 39,13,10,Aaron Rodgers pass complete short right to Jordy Nelson for 14 yards (tackle by Jason Allen),0.230,2.460
4,14:19,1,10,MIA 47,13,10,Brandon Jackson right guard for 2 yards (tackle by Karlos Dansby),2.460,2.180
4,13:40,2,8,MIA 45,13,10,Aaron Rodgers pass complete short left to Greg Jennings for 11 yards (tackle by Yeremiah Bell),2.180,3.310
4,13:02,1,10,MIA 34,13,10,Aaron Rodgers pass complete short middle to Brandon Jackson for 19 yards (tackle by Yeremiah Bell),3.310,4.580
4,12:14,1,10,MIA 15,13,10,Aaron Rodgers pass complete short left to Greg Jennings for 2 yards (tackle by Vontae Davis),4.580,4.280
4,11:35,2,8,MIA 13,13,10,Aaron Rodgers pass complete short left to Greg Jennings for 5 yards (tackle by Vontae Davis),4.280,4.450
4,10:53,3,3,MIA 8,13,10,Aaron Rodgers pass incomplete short right intended for Jordy Nelson,4.450,2.980
4,10:48,4,3,MIA 8,13,13,Mason Crosby 26 yard field goal good,2.980,3.000
4,,,,GNB 30,13,13,"Mason Crosby kicks off 67 yards, returned by Nolan Carroll for 37 yards (tackle by Mason Crosby)",0.000,1.600
4,10:39,1,10,MIA 40,13,13,Ricky Williams middle for 4 yards (tackle by B.J. Raji),1.600,1.590
4,10:02,2,6,MIA 44,13,13,Chad Henne pass incomplete short left intended for Davone Bess,1.590,0.890
4,9:57,3,6,MIA 44,13,13,Chad Henne pass incomplete short middle intended for Brandon Marshall (defended by B.J. Raji),0.890,-0.460
4,9:54,4,6,MIA 44,13,13,"Brandon Fields punts 38 yards, returned by Tramon Williams for 4 yards (tackle by Tyrone Culver)",-0.460,-0.410
4,9:44,1,10,GNB 22,13,13,Brandon Jackson right end for 7 yards (tackle by Yeremiah Bell),0.410,0.810
4,9:18,2,3,GNB 29,13,13,John Kuhn left tackle for 1 yard (tackle by Randy Starks),0.810,0.230
4,8:34,3,2,GNB 30,13,13,Aaron Rodgers sacked by Cameron Wake for -7 yards,0.230,-1.830
4,8:17,4,9,GNB 23,13,13,"Tim Masthay punts 39 yards, returned by Davone Bess for 11 yards (tackle by Patrick Lee)",-1.830,-2.190
4,8:08,1,10,MIA 49,13,13,Chad Henne pass incomplete short right intended for Brandon Marshall,2.190,1.650
4,8:03,2,10,MIA 49,13,13,Ronnie Brown right guard for 8 yards (tackle by Frank Zombo),1.650,2.010
4,7:22,3,2,GNB 43,13,13,Chad Henne pass incomplete short right intended for Davone Bess (defended by Desmond Bishop),2.010,0.400
4,7:18,4,2,GNB 43,13,13,"Brandon Fields punts 35 yards, fair catch by Tramon Williams. Penalty on Rob Francois: Illegal Formation, 5 yards (no play)",0.400,3.050
4,7:10,1,10,GNB 38,13,13,Chad Henne pass complete short left to Brandon Marshall for 4 yards (tackle by Tramon Williams),3.050,3.050
4,6:49,2,6,GNB 34,13,13,Ronnie Brown middle for 2 yards (tackle by A.J. Hawk and Brad Jones),3.050,2.610
4,6:09,3,4,GNB 32,13,13,Chad Henne pass complete short middle to Brian Hartline for 10 yards (tackle by Tramon Williams and Desmond Bishop),2.610,4.110
4,5:29,1,10,GNB 22,19,13,"Chad Henne pass complete short left to Anthony Fasano for 22 yards, touchdown",4.110,7.000
4,,,,GNB 2,20,13,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,20,13,"Dan Carpenter kicks off 67 yards, returned by Patrick Lee for 28 yards (tackle by Tim Dobbins)",0.000,1.000
4,5:15,1,10,GNB 31,20,13,Aaron Rodgers pass incomplete,1.000,0.460
4,5:08,2,10,GNB 31,20,13,Aaron Rodgers pass incomplete deep left intended for Donald Driver (defended by Sean Smith),0.460,-0.230
4,5:02,,,,20,13,Timeout #2 by Miami Dolphins,0.000,-0.230
4,5:02,3,10,GNB 31,20,13,Aaron Rodgers pass complete short middle to Jordy Nelson for 24 yards (tackle by Randy Starks),-0.230,2.590
4,4:15,1,10,MIA 45,20,13,Aaron Rodgers pass complete short middle to Jordy Nelson for 13 yards (tackle by Benny Sapp),2.590,3.450
4,3:32,1,10,MIA 32,20,13,Brandon Jackson middle for 5 yards (tackle by Benny Sapp and Sean Smith),3.450,3.580
4,2:53,2,5,MIA 27,20,13,"Aaron Rodgers pass incomplete. Penalty on Bryan Bulaga: Offensive Holding, 10 yards (no play)",3.580,2.230
4,2:47,2,15,MIA 37,20,13,Aaron Rodgers pass incomplete deep middle intended for Andrew Quarless,2.230,1.550
4,2:43,3,15,MIA 37,20,13,Aaron Rodgers pass complete short left to Donald Driver for 8 yards (tackle by Chris Clemons),1.550,1.500
4,2:00,4,7,MIA 29,20,13,Aaron Rodgers pass complete short middle to Greg Jennings for 20 yards (tackle by Karlos Dansby),1.500,5.140
4,1:16,1,9,MIA 9,20,13,Aaron Rodgers right end for 8 yards (tackle by Jason Allen),5.140,5.910
4,0:35,,,,20,13,Timeout #1 by Green Bay Packers,0.000,5.910
4,0:35,2,1,MIA 1,20,13,John Kuhn middle for no gain (tackle by Karlos Dansby),5.910,5.170
4,0:23,,,,20,13,Timeout #2 by Green Bay Packers,0.000,5.170
4,0:23,3,1,MIA 1,20,13,John Kuhn right tackle for no gain (tackle by Kendall Langford),5.170,3.550
4,0:16,,,,20,13,Timeout #3 by Green Bay Packers,0.000,0.000
4,0:16,,,,20,13,Timeout #3 by Miami Dolphins,0.000,3.550
4,0:16,4,1,MIA 1,20,19,"Aaron Rodgers middle for 1 yard, touchdown",3.550,7.000
4,,,,MIA 2,20,20,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,20,20,"Mason Crosby kicks off 37 yards, returned by Lousaka Polite for 10 yards (tackle by Korey Hall)",0.000,1.800
4,0:10,1,10,MIA 43,20,20,"Chad Henne pass incomplete deep right intended for Brian Hartline. Penalty on Charles Woodson: Illegal Contact, 5 yards (no play)",1.800,2.130
4,0:03,1,10,MIA 48,20,20,Chad Henne kneels for -1 yards,2.130,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
,,,,,,,"Dolphins won the coin toss, Dolphins to receive the overtime kickoff.",,
OT,,,,GNB 30,20,20,"Mason Crosby kicks off 66 yards, returned by Nolan Carroll for 21 yards (tackle by Patrick Lee)",0.000,0.610
OT,14:57,1,10,MIA 25,20,20,Chad Henne pass incomplete deep right intended for Brian Hartline,0.610,0.060
OT,14:52,2,10,MIA 25,20,20,Chad Henne pass complete short right to Ronnie Brown for 2 yards (tackle by Cullen Jenkins),0.060,-0.360
OT,14:11,3,8,MIA 27,20,20,Chad Henne pass incomplete deep middle intended for Brandon Marshall (defended by Nick Collins),-0.360,-1.570
OT,14:06,4,8,MIA 27,20,20,"Brandon Fields punts 50 yards, returned by Tramon Williams for 7 yards (tackle by Tyrone Culver). Penalty on Korey Hall: Illegal Block Above the , 10 yards",-1.570,0.140
OT,13:55,1,10,GNB 16,20,20,Brandon Jackson middle for 4 yards (tackle by Channing Crowder),-0.140,0.010
OT,13:23,2,6,GNB 20,20,20,Aaron Rodgers pass incomplete,0.010,-0.820
OT,13:16,3,6,GNB 20,20,20,Aaron Rodgers sacked by Cameron Wake for -5 yards,-0.820,-2.440
OT,12:53,4,11,GNB 15,20,20,"Tim Masthay punts 37 yards, fair catch by Davone Bess",-2.440,-2.130
OT,12:46,1,10,MIA 48,20,20,Ricky Williams right end for 2 yards (tackle by Frank Zombo),2.130,1.850
OT,12:09,2,8,,20,20,Chad Henne pass complete short left to Davone Bess for 8 yards (tackle by Nick Collins),1.850,2.790
OT,11:42,1,10,GNB 42,20,20,Ricky Williams left tackle for 3 yards (tackle by B.J. Raji),2.790,2.650
OT,11:05,2,7,GNB 39,20,20,Ricky Williams right guard for 8 yards (tackle by Charlie Peprah),2.650,3.510
OT,10:24,1,10,GNB 31,20,20,Ronnie Brown left tackle for 5 yards (tackle by Charlie Peprah and Brad Jones),3.510,3.640
OT,9:46,,,,20,20,Timeout #1 by Green Bay Packers,0.000,3.640
OT,9:46,2,5,GNB 26,20,20,Ronnie Brown right tackle for no gain (tackle by Charles Woodson),3.640,2.940
OT,9:06,3,5,GNB 26,23,20,Dan Carpenter 44 yard field goal good,2.940,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
