Unnamed: 0,CLE,MIN
First Downs,20,16
Rush-Yds-TDs,38-184-1,23-65-0
Cmp-Att-Yd-TD-INT,15-33-155-0-0,20-38-203-1-1
Sacked-Yards,3-12,2-13
Net Pass Yards,143,190
Total Yards,327,255
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,7-73,7-42
Third Down Conv.,7-18,5-16
Fourth Down Conv.,0-1,1-3
Time of Possession,35:32,24:28
