Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Chase McLaughlin kicks off 65 yards, touchback.",,
1,15:00,1,10,MIN 25,0,0,Dalvin Cook right tackle for 1 yard (tackle by Jeremiah Owusu-Koramoah),,
1,14:26,2,9,MIN 26,0,0,Kirk Cousins pass complete short right to Justin Jefferson for 9 yards (tackle by Ronnie Harrison),,
1,13:39,1,10,MIN 35,0,0,Dalvin Cook left end for 11 yards (tackle by Malcolm Smith),,
1,13:08,1,10,MIN 46,0,0,Kirk Cousins pass complete short left to Tyler Conklin for 1 yard (tackle by Denzel Ward),,
1,12:33,2,9,MIN 47,0,0,Alexander Mattison left guard for 2 yards (tackle by Malik McDowell),,
1,11:53,3,7,MIN 49,0,0,Kirk Cousins pass complete short right to Justin Jefferson for 11 yards,,
1,11:15,1,10,CLE 40,0,0,Kirk Cousins pass complete short left to Adam Thielen for 22 yards (tackle by Sione Takitaki),,
1,10:51,1,10,CLE 18,0,0,Dalvin Cook up the middle for 4 yards (tackle by Malcolm Smith and Greedy Williams),,
1,10:15,2,6,CLE 14,0,0,Kirk Cousins pass complete short right to Dalvin Cook for 4 yards (tackle by Sione Takitaki),,
1,9:37,3,2,CLE 10,0,0,Dalvin Cook right guard for 1 yard (tackle by Malcolm Smith and Denzel Ward),,
1,8:57,4,1,CLE 9,0,0,C.J. Ham left guard for 1 yard (tackle by Myles Garrett and Grant Delpit),,
1,8:17,1,8,CLE 8,0,0,"Kirk Cousins scrambles for 1 yard. Penalty on Kirk Cousins: Illegal Forward Pass, 5 yards (accepted)",,
1,8:10,2,12,CLE 12,0,0,Alexander Mattison right end for no gain (tackle by John Johnson and Malcolm Smith),,
1,7:31,3,12,CLE 12,0,6,"Kirk Cousins pass complete short right to Justin Jefferson for 12 yards, touchdown",,
1,7:26,,,CLE 15,0,7,Greg Joseph kicks extra point good,,
1,7:26,,,MIN 35,0,7,"Greg Joseph kicks off 65 yards, returned by Anthony Schwartz for 26 yards (tackle by Blake Lynch)",,
1,7:21,1,10,CLE 26,0,7,Nick Chubb left end for 4 yards (tackle by Michael Pierce),,
1,6:43,2,6,CLE 30,0,7,Baker Mayfield pass complete short right to Demetric Felton for 3 yards (tackle by Bashaud Breeland),,
1,6:02,3,3,CLE 33,0,7,Baker Mayfield pass complete short left to Austin Hooper for 11 yards (tackle by Eric Kendricks and Harrison Smith),,
1,5:25,1,10,CLE 44,0,7,Baker Mayfield pass incomplete deep right,,
1,5:16,2,10,CLE 44,0,7,Baker Mayfield pass incomplete short middle intended for Austin Hooper (defended by Blake Lynch),,
1,5:13,3,10,CLE 44,0,7,Baker Mayfield pass complete deep right to Rashard Higgins for 21 yards (tackle by Bashaud Breeland),,
1,4:35,1,10,MIN 35,0,7,Nick Chubb up the middle for 3 yards (tackle by Stephen Weatherly and Armon Watts),,
1,3:53,2,7,MIN 32,0,7,Odell Beckham right end for 4 yards (tackle by Nick Vigil),,
1,3:31,3,3,MIN 28,0,7,Baker Mayfield right end for 5 yards (tackle by Cameron Dantzler),,
1,2:47,1,10,MIN 23,0,7,Baker Mayfield pass complete short right to David Njoku for 8 yards (tackle by Sheldon Richardson and Xavier Woods),,
1,2:01,2,2,MIN 15,0,7,Nick Chubb left tackle for 3 yards (tackle by Eric Kendricks and Xavier Woods),,
1,1:17,1,10,MIN 12,0,7,Nick Chubb left tackle for 4 yards (tackle by Danielle Hunter),,
1,0:34,2,6,MIN 8,0,7,Nick Chubb up the middle for 2 yards (tackle by Everson Griffen and Xavier Woods),,
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,MIN 6,0,7,Baker Mayfield pass incomplete short right intended for Kareem Hunt,,
2,14:54,4,4,MIN 6,0,7,Baker Mayfield sacked by Everson Griffen for -11 yards,,
2,14:49,1,10,MIN 18,0,7,Kirk Cousins pass incomplete short right intended for Dalvin Cook,,
2,14:45,2,10,MIN 18,0,7,Dalvin Cook right end for 1 yard (tackle by Jeremiah Owusu-Koramoah and Greedy Williams),,
2,14:04,3,9,MIN 19,0,7,Kirk Cousins pass incomplete short left intended for Dalvin Cook,,
2,14:00,4,9,MIN 19,0,7,"Jordan Berry punts 58 yards, returned by Demetric Felton for 8 yards (tackle by Blake Lynch)",,
2,13:48,1,10,CLE 31,0,7,Baker Mayfield pass complete short right to Harrison Bryant for 3 yards (tackle by Blake Lynch),,
2,13:11,2,7,CLE 34,0,7,Baker Mayfield pass complete short left to Odell Beckham for 3 yards (tackle by Eric Kendricks),,
2,12:23,3,4,CLE 37,0,7,Baker Mayfield pass incomplete short left intended for Rashard Higgins (defended by Sheldon Richardson) (defended by Mackensie Alexander),,
2,12:19,4,4,CLE 37,0,7,"Jamie Gillan punts 33 yards, fair catch by Dede Westbrook at MIN-30",,
2,12:12,1,10,MIN 30,0,7,K.J. Osborn left end for 10 yards (tackle by John Johnson),,
2,11:44,1,10,MIN 40,0,7,Kirk Cousins pass incomplete short right intended for Dalvin Cook,,
2,11:39,2,10,MIN 40,0,7,Kirk Cousins pass complete deep left to K.J. Osborn for 20 yards (tackle by A.J. Green),,
2,11:19,1,10,CLE 40,0,7,Alexander Mattison left guard for 5 yards (tackle by Jeremiah Owusu-Koramoah),,
2,10:45,2,5,CLE 35,0,7,Dalvin Cook left end for -1 yards (tackle by Myles Garrett),,
2,10:04,3,6,CLE 36,0,7,Kirk Cousins pass incomplete short left intended for Adam Thielen,,
2,9:59,4,6,CLE 36,0,7,Kirk Cousins pass incomplete short right intended for Adam Thielen,,
2,9:55,1,10,CLE 36,0,7,Kareem Hunt right end for 4 yards (tackle by Stephen Weatherly),,
2,9:15,2,6,CLE 40,0,7,Kareem Hunt left end for 5 yards (tackle by Xavier Woods),,
2,8:29,3,1,CLE 45,0,7,Kareem Hunt up the middle for 2 yards (tackle by Harrison Smith and Sheldon Richardson),,
2,7:50,1,10,CLE 47,0,7,Kareem Hunt left end for 3 yards (tackle by Armon Watts),,
2,7:10,2,7,MIN 50,0,7,Baker Mayfield pass complete short left to Demetric Felton for 9 yards (tackle by Patrick Peterson),,
2,6:36,1,10,MIN 41,0,7,Kareem Hunt right end for 2 yards (tackle by Cameron Dantzler and Armon Watts),,
2,5:53,2,8,MIN 39,0,7,Baker Mayfield pass complete short right to Kareem Hunt for 8 yards (tackle by Nick Vigil and Cameron Dantzler),,
2,5:23,1,10,MIN 31,0,7,Nick Chubb left end for 5 yards (tackle by Blake Lynch and Harrison Smith),,
2,4:42,2,5,MIN 26,0,7,Nick Chubb right tackle for 2 yards (tackle by Everson Griffen),,
2,3:58,3,3,MIN 24,0,7,"Penalty on Jedrick Wills: False Start, 5 yards (accepted) (no play)",,
2,3:40,3,8,MIN 29,0,7,Baker Mayfield pass complete short left to Kareem Hunt for 9 yards (tackle by Danielle Hunter),,
2,2:58,1,10,MIN 20,0,7,Nick Chubb right guard for 9 yards (tackle by Xavier Woods and Danielle Hunter),,
2,2:14,2,1,MIN 11,0,7,Nick Chubb left tackle for 6 yards (tackle by Danielle Hunter),,
2,2:00,1,5,MIN 5,0,7,"Baker Mayfield pass incomplete short right intended for Donovan Peoples-Jones. Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",,
2,1:54,1,15,MIN 15,0,7,Baker Mayfield pass complete short middle to Rashard Higgins for 12 yards (tackle by Harrison Smith),,
2,1:45,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:45,2,3,MIN 3,0,7,Baker Mayfield pass incomplete short right intended for Odell Beckham,,
2,1:41,3,3,MIN 3,0,7,Nick Chubb up the middle for 1 yard (tackle by Dalvin Tomlinson and Eric Kendricks),,
2,1:33,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:33,4,2,MIN 2,0,7,"Baker Mayfield pass incomplete short right intended for Harrison Bryant. Penalty on Eric Kendricks: Defensive Holding, 1 yard (accepted) (no play)",,
2,1:26,1,1,MIN 1,0,7,Baker Mayfield pass incomplete short left intended for Austin Hooper,,
2,1:22,2,1,MIN 1,0,7,Kareem Hunt left tackle for no gain (tackle by Eric Kendricks and Nick Vigil),,
2,1:19,,,,,,Timeout #3 by Minnesota Vikings,,
2,1:19,3,1,MIN 1,6,7,"Kareem Hunt left guard for 1 yard, touchdown",,
2,1:16,,,MIN 15,6,7,Chase McLaughlin kicks extra point good (no play),,
2,1:16,1,1,MIN 2,8,7,Two Point Attempt: Baker Mayfield pass complete to to Andy Janovich for no gain,,
2,1:16,,,CLE 35,8,7,"Chase McLaughlin kicks off 66 yards, returned by Ameer Abdullah for 26 yards (tackle by Grant Delpit and D'Ernest Johnson)",,
2,1:12,1,10,MIN 25,8,7,Kirk Cousins pass incomplete short right intended for K.J. Osborn,,
2,1:08,2,10,MIN 25,8,7,Kirk Cousins pass complete short left to Ameer Abdullah for 2 yards (tackle by M.J. Stewart),,
2,1:04,3,8,MIN 27,8,7,"Penalty on Ezra Cleveland: False Start, 5 yards (accepted) (no play)",,
2,1:04,3,13,MIN 22,8,7,Kirk Cousins pass complete short left to K.J. Osborn for 3 yards (tackle by M.J. Stewart),,
2,0:56,,,,,,Timeout #1 by Cleveland Browns,,
2,0:56,4,10,MIN 25,8,7,"Jordan Berry punts 47 yards, returned by Demetric Felton for 8 yards (tackle by Ryan Connelly and Josh Metellus)",,
2,0:45,1,10,CLE 36,8,7,"Baker Mayfield pass incomplete short right. Penalty on Baker Mayfield: Intentional Grounding, 10 yards (accepted)",,
2,0:40,,,,,,Timeout #2 by Cleveland Browns,,
2,0:40,2,20,CLE 26,8,7,Baker Mayfield pass incomplete short right intended for Austin Hooper,,
2,0:35,3,20,CLE 26,8,7,Kareem Hunt right tackle for 33 yards (tackle by Xavier Woods and Harrison Smith),,
2,0:27,1,10,MIN 41,8,7,Baker Mayfield pass complete short left to Rashard Higgins for 11 yards (tackle by Patrick Peterson),,
2,0:21,1,10,MIN 30,8,7,Baker Mayfield pass incomplete deep left intended for Odell Beckham,,
2,0:15,2,10,MIN 30,8,7,Baker Mayfield pass incomplete deep left intended for Rashard Higgins,,
2,0:10,3,10,MIN 30,8,7,Baker Mayfield pass incomplete short left intended for Austin Hooper,,
2,0:06,4,10,MIN 30,11,7,Chase McLaughlin 48 yard field goal good,,
2,0:02,,,CLE 35,11,7,"Chase McLaughlin kicks off 65 yards, touchback.",,
2,0:02,1,10,MIN 25,11,7,Kirk Cousins kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,11,7,"Greg Joseph kicks off 65 yards, touchback.",,
3,15:00,1,10,CLE 25,11,7,Nick Chubb up the middle for 3 yards (tackle by Armon Watts and Dalvin Tomlinson),,
3,14:20,2,7,CLE 28,11,7,Baker Mayfield pass complete short middle to Nick Chubb for 5 yards (tackle by Eric Kendricks),,
3,13:37,3,2,CLE 33,11,7,Baker Mayfield sacked by Danielle Hunter for -1 yards,,
