Quarter,Time,Tm,Detail,CLE,MIN
1.0,7:26,Vikings,Justin Jefferson 12 yard pass from Kirk Cousins (Greg Joseph kick),0,7
2.0,1:16,Browns,Kareem Hunt 1 yard rush (Andy Janovich pass from Baker Mayfield),8,7
,0:02,Browns,Chase McLaughlin 48 yard field goal,11,7
4.0,6:16,Browns,Chase McLaughlin 53 yard field goal,14,7
