Unnamed: 0,CLE,HOU
First Downs,14,16
Rush-Yds-TDs,38-174-0,22-82-0
Cmp-Att-Yd-TD-INT,12-22-131-0-1,20-39-201-1-2
Sacked-Yards,1-1,0-0
Net Pass Yards,130,201
Total Yards,304,283
Fumbles-Lost,2-1,3-2
Turnovers,2,4
Penalties-Yards,6-56,5-31
Third Down Conv.,4-13,1-12
Fourth Down Conv.,0-0,1-2
Time of Possession,32:16,27:44
