Quarter,Time,Tm,Detail,BUF,NWE
1.0,9:48,Bills,Rian Lindell 39 yard field goal,3,0
,5:14,Patriots,Randy Moss 7 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
2.0,10:46,Bills,Rian Lindell 39 yard field goal,6,7
,6:13,Bills,C.J. Spiller 5 yard pass from Ryan Fitzpatrick (Rian Lindell kick),13,7
,2:58,Patriots,Danny Woodhead 22 yard rush (Stephen Gostkowski kick),13,14
,0:24,Bills,Rian Lindell 34 yard field goal,16,14
,0:00,Patriots,Stephen Gostkowski 43 yard field goal,16,17
3.0,13:11,Patriots,Randy Moss 35 yard pass from Tom Brady (Stephen Gostkowski kick),16,24
,12:58,Bills,C.J. Spiller 95 yard kickoff return (Rian Lindell kick),23,24
,1:21,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),23,31
4.0,8:19,Patriots,BenJarvus Green-Ellis 7 yard rush (Stephen Gostkowski kick),23,38
,4:08,Bills,Stevie Johnson 37 yard pass from Ryan Fitzpatrick (Rian Lindell kick),30,38
