Unnamed: 0,NYG,KAN
First Downs,21,15
Rush-Yds-TDs,33-156-0,25-124-0
Cmp-Att-Yd-TD-INT,20-36-292-3-1,15-32-127-2-0
Sacked-Yards,2-19,5-39
Net Pass Yards,273,88
Total Yards,429,212
Fumbles-Lost,1-1,5-1
Turnovers,2,1
Penalties-Yards,8-54,7-55
Third Down Conv.,6-15,2-15
Fourth Down Conv.,1-2,3-4
Time of Possession,31:15,28:45
