Unnamed: 0,LAR,SEA
First Downs,19,11
Rush-Yds-TDs,43-244-3,17-78-0
Cmp-Att-Yd-TD-INT,15-23-124-2-1,14-30-142-1-0
Sacked-Yards,2-16,7-71
Net Pass Yards,108,71
Total Yards,352,149
Fumbles-Lost,2-0,3-2
Turnovers,1,2
Penalties-Yards,3-25,9-60
Third Down Conv.,6-16,4-14
Fourth Down Conv.,1-3,0-0
Time of Possession,36:46,23:14
