Quarter,Time,Tm,Detail,GNB,DET
1.0,4:24,Lions,Jason Hanson 30 yard field goal,0,3
2.0,13:56,Packers,Jermichael Finley 20 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
,8:06,Lions,Mikel Leshoure 1 yard rush (Jason Hanson kick),7,10
3.0,8:31,Packers,M.D. Jennings 72 yard interception return (Mason Crosby kick),14,10
,3:01,Lions,Calvin Johnson 25 yard pass from Matthew Stafford (Jason Hanson kick),14,17
4.0,4:25,Lions,Jason Hanson 27 yard field goal,14,20
,1:55,Packers,Randall Cobb 22 yard pass from Aaron Rodgers (Mason Crosby kick),21,20
,0:19,Packers,Mason Crosby 39 yard field goal,24,20
