Unnamed: 0,GNB,DET
First Downs,16,19
Rush-Yds-TDs,29-95-0,24-110-1
Cmp-Att-Yd-TD-INT,19-27-236-2-1,17-39-266-1-2
Sacked-Yards,3-17,5-14
Net Pass Yards,219,252
Total Yards,314,362
Fumbles-Lost,2-0,3-2
Turnovers,1,4
Penalties-Yards,9-80,7-50
Third Down Conv.,6-13,6-15
Fourth Down Conv.,0-1,0-1
Time of Possession,30:18,29:42
