Unnamed: 0,TAM,NOR
First Downs,23,25
Rush-Yds-TDs,21-89-1,31-123-2
Cmp-Att-Yd-TD-INT,23-35-277-2-2,23-34-299-1-0
Sacked-Yards,2-17,2-5
Net Pass Yards,260,294
Total Yards,349,417
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,7-63,7-59
Third Down Conv.,7-12,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:24,31:36
