Quarter,Time,Tm,Detail,DEN,NOR
1.0,13:14,Broncos,Reuben Droughns 51 yard rush (Jason Elam kick),7,0
,9:33,Broncos,Ashley Lelie 37 yard pass from Jake Plummer (Jason Elam kick),14,0
,3:26,Broncos,Jason Elam 48 yard field goal,17,0
,1:03,Broncos,Jason Elam 34 yard field goal,20,0
2.0,10:58,Saints,John Carney 24 yard field goal,20,3
,7:08,Broncos,Al Wilson 7 yard interception return (Jason Elam kick),27,3
,3:27,Saints,Donte' Stallworth 30 yard pass from Aaron Brooks (John Carney kick),27,10
,1:26,Saints,John Carney 36 yard field goal,27,13
4.0,14:46,Broncos,Kyle Johnson 19 yard pass from Jake Plummer (Jason Elam kick),34,13
