Unnamed: 0,DEN,NOR
First Downs,18,20
Rush-Yds-TDs,31-165-1,14-49-0
Cmp-Att-Yd-TD-INT,19-29-224-2-0,34-60-377-1-3
Sacked-Yards,0-0,2-15
Net Pass Yards,224,362
Total Yards,389,411
Fumbles-Lost,0-0,1-1
Turnovers,0,4
Penalties-Yards,6-82,10-79
Third Down Conv.,4-12,7-17
Fourth Down Conv.,0-0,1-3
Time of Possession,30:25,29:35
