Unnamed: 0,CAR,OAK
First Downs,10,17
Rush-Yds-TDs,28-162-1,36-147-0
Cmp-Att-Yd-TD-INT,7-27-72-1-4,15-34-147-0-2
Sacked-Yards,2-15,5-35
Net Pass Yards,57,112
Total Yards,219,259
Fumbles-Lost,0-0,5-1
Turnovers,4,3
Penalties-Yards,4-40,10-83
Third Down Conv.,3-13,2-17
Fourth Down Conv.,0-0,1-1
Time of Possession,22:58,37:02
