Unnamed: 0,PHI,DAL
First Downs,17,27
Rush-Yds-TDs,13-56-0,35-198-2
Cmp-Att-Yd-TD-INT,20-39-306-2-1,23-35-244-2-0
Sacked-Yards,4-22,2-16
Net Pass Yards,284,228
Total Yards,340,426
Fumbles-Lost,3-3,1-1
Turnovers,4,1
Penalties-Yards,9-116,14-112
Third Down Conv.,2-11,9-16
Fourth Down Conv.,0-2,0-0
Time of Possession,20:26,39:34
