Unnamed: 0,NYG,SEA
First Downs,20,27
Rush-Yds-TDs,17-54-1,45-350-5
Cmp-Att-Yd-TD-INT,29-44-283-1-1,10-17-172-0-2
Sacked-Yards,2-13,2-12
Net Pass Yards,270,160
Total Yards,324,510
Fumbles-Lost,1-1,3-1
Turnovers,2,3
Penalties-Yards,4-35,6-50
Third Down Conv.,6-12,7-12
Fourth Down Conv.,0-1,1-1
Time of Possession,26:48,33:12
