Quarter,Time,Tm,Detail,NYG,SEA
1.0,10:23,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),0,7
,4:32,Giants,Preston Parker 6 yard pass from Eli Manning (Josh Brown kick),7,7
2.0,13:38,Giants,Andre Williams 3 yard rush (Josh Brown kick),14,7
,1:57,Seahawks,Marshawn Lynch 2 yard rush (Stephen Hauschka kick),14,14
,0:00,Giants,Josh Brown 41 yard field goal,17,14
3.0,4:13,Seahawks,Stephen Hauschka 28 yard field goal,17,17
4.0,12:47,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),17,24
,7:47,Seahawks,Marshawn Lynch 16 yard rush (Stephen Hauschka kick),17,31
,5:19,Seahawks,Russell Wilson 1 yard rush (Stephen Hauschka kick),17,38
