Unnamed: 0,BUF,MIA
First Downs,13,24
Rush-Yds-TDs,19-54-0,24-125-0
Cmp-Att-Yd-TD-INT,22-39-193-0-0,26-34-240-2-0
Sacked-Yards,2-10,5-35
Net Pass Yards,183,205
Total Yards,237,330
Fumbles-Lost,0-0,2-2
Turnovers,0,2
Penalties-Yards,7-70,4-30
Third Down Conv.,6-15,4-9
Fourth Down Conv.,0-2,0-0
Time of Possession,27:38,32:22
