Quarter,Time,Tm,Detail,BUF,MIA
1.0,6:40,Dolphins,Caleb Sturgis 38 yard field goal,0,3
,0:13,Bills,Dan Carpenter 33 yard field goal,3,3
2.0,3:26,Bills,Dan Carpenter 21 yard field goal,6,3
3.0,6:26,Bills,Dan Carpenter 46 yard field goal,9,3
,2:18,Dolphins,Brandon Gibson 7 yard pass from Ryan Tannehill (Caleb Sturgis kick),9,10
,1:03,Dolphins,"Safety, Kyle Orton intentional grounding in the end zone.",9,12
4.0,11:35,Dolphins,Jarvis Landry 8 yard pass from Ryan Tannehill (Caleb Sturgis kick),9,19
,3:01,Dolphins,Caleb Sturgis 32 yard field goal,9,22
