Unnamed: 0,TAM,CAR
First Downs,23,20
Rush-Yds-TDs,19-59-1,31-270-3
Cmp-Att-Yd-TD-INT,28-38-274-1-1,12-17-171-3-0
Sacked-Yards,3-16,1-8
Net Pass Yards,258,163
Total Yards,317,433
Fumbles-Lost,3-3,0-0
Turnovers,4,0
Penalties-Yards,7-64,8-77
Third Down Conv.,5-11,0-6
Fourth Down Conv.,1-3,2-2
Time of Possession,32:57,27:03
