Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
2,12:27,,,,10,14,Timeout #1 by Chicago Bears,0.000,1.250
2,12:27,2,12,CHI 45,10,14,Jay Cutler for 1 yard (tackle by Ernie Sims),1.250,0.700
2,12:02,3,11,CHI 46,10,14,Jay Cutler sacked by Brandon Graham for -9 yards,0.700,-0.910
2,11:41,4,20,CHI 37,10,14,"Brad Maynard punts 44 yards. Penalty on Corey Graham: Unsportsmanlike Conduct, 15 yards",-0.910,-1.660
2,11:33,1,10,PHI 41,10,14,Michael Vick pass incomplete short right intended for Owen Schmitt,1.660,1.120
2,11:25,2,10,PHI 41,10,14,LeSean McCoy right end for 18 yards (tackle by Chris Harris),1.120,2.850
2,10:44,1,10,CHI 41,10,14,Michael Vick pass complete deep left to DeSean Jackson for 21 yards (tackle by Brian Urlacher),2.850,4.240
2,10:04,1,10,CHI 20,10,14,Michael Vick pass complete short right to Jeremy Maclin for 10 yards (tackle by Tim Jennings),4.240,4.910
2,9:20,1,10,CHI 10,10,14,Michael Vick pass incomplete short middle intended for Brent Celek,4.910,4.190
2,9:16,2,10,CHI 10,10,14,Michael Vick left guard for 7 yards (tackle by Chris Harris),4.190,4.720
2,8:34,3,3,CHI 3,10,14,"Michael Vick sacked by Julius Peppers for -14 yards. Michael Vick fumbles (forced by Julius Peppers), recovered by Michael Vick at CHI-18",4.720,2.250
2,8:13,4,18,CHI 18,13,14,David Akers 36 yard field goal good,2.250,3.000
2,,,,PHI 30,13,14,"David Akers kicks off 70 yards, returned by Danieal Manning for 19 yards (tackle by Keenan Clayton)",0.000,0.150
2,8:02,1,10,CHI 19,13,14,Matt Forte right end for 3 yards (tackle by Moise Fokou),0.150,0.070
2,7:19,2,7,CHI 22,13,14,Jay Cutler sacked by Mike Patterson for -8 yards,0.070,-1.920
2,6:45,3,15,CHI 14,13,14,Jay Cutler sacked by Trent Cole for -6 yards,-1.920,-2.490
2,6:23,4,21,CHI 8,13,14,"Brad Maynard punts 38 yards, fair catch by DeSean Jackson",-2.490,-2.520
2,6:15,1,10,CHI 46,13,14,LeSean McCoy right guard for -2 yards (tackle by D.J. Moore),2.520,1.710
2,5:38,2,12,CHI 48,13,14,Michael Vick pass complete short middle to Brent Celek for 9 yards (tackle by Pisa Tinoisamoa),1.710,2.210
2,4:55,3,3,CHI 39,13,14,Michael Vick pass complete short middle to Jeremy Maclin for 5 yards (tackle by D.J. Moore),2.210,3.310
2,4:16,1,10,CHI 34,13,14,Jerome Harrison right guard for 2 yards (tackle by D.J. Moore and Tommie Harris),3.310,3.040
2,3:35,2,8,CHI 32,13,14,Michael Vick pass complete short middle to Jason Avant for 10 yards (tackle by Lance Briggs),3.040,4.110
2,2:54,1,10,CHI 22,13,14,Michael Vick pass complete short right to LeSean McCoy for 14 yards (tackle by Danieal Manning),4.110,5.370
2,2:15,1,8,CHI 8,13,14,Michael Vick pass complete short left to Jerome Harrison for 4 yards (tackle by Brian Urlacher),5.370,5.340
2,2:00,2,4,CHI 4,13,14,Michael Vick pass incomplete short right intended for Jeremy Maclin is intercepted by Chris Harris and returned for 39 yards,5.340,-1.400
2,1:50,1,10,CHI 37,13,14,Jay Cutler pass complete short middle to Devin Hester for 13 yards,1.400,2.260
2,1:44,1,10,,13,14,Jay Cutler pass complete short left to Earl Bennett for 30 yards (tackle by Stewart Bradley),2.260,4.240
2,1:32,,,,13,14,Timeout #2 by Chicago Bears,0.000,4.240
2,1:32,1,10,PHI 20,13,14,Jay Cutler pass incomplete deep right intended for Devin Hester,4.240,3.690
2,1:26,2,10,PHI 20,13,14,Jay Cutler pass complete short right to Johnny Knox for 14 yards (tackle by Stewart Bradley),3.690,5.830
2,0:47,1,6,PHI 6,13,14,Jay Cutler pass incomplete short left intended for Earl Bennett (defended by Joselio Hanson),5.830,4.950
2,0:43,2,6,PHI 6,13,20,"Jay Cutler pass complete short right to Earl Bennett for 6 yards, touchdown",4.950,7.000
2,,,,PHI 2,13,21,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,13,21,"Robbie Gould kicks off 66 yards, returned by Jorrick Calvin for 19 yards (tackle by Major Wright)",0.000,0.480
2,0:31,1,10,PHI 23,13,21,LeSean McCoy right tackle for 6 yards (tackle by Brian Urlacher),0.480,0.740
2,0:25,,,,13,21,Timeout #1 by Philadelphia Eagles,0.000,0.740
2,0:25,2,4,PHI 29,13,21,Michael Vick pass complete short middle to Jason Avant for 7 yards (tackle by Lance Briggs),0.740,1.330
2,0:19,,,,13,21,Timeout #2 by Philadelphia Eagles,0.000,1.330
2,0:19,1,10,PHI 36,13,21,Michael Vick pass incomplete deep left intended for DeSean Jackson,1.330,0.790
2,0:14,2,10,PHI 36,13,21,Michael Vick pass complete short right to Jason Avant for 10 yards,0.790,1.990
2,0:07,1,10,PHI 46,13,21,Michael Vick middle for 4 yards. Penalty on Michael Vick: Illegal Forward Pass,1.990,1.990
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,13,21,"David Akers kicks off 70 yards, returned by Devin Hester for 46 yards (tackle by Trevard Lindley)",0.000,1.990
3,14:51,1,10,CHI 46,13,21,Matt Forte right tackle for 2 yards (tackle by Antonio Dixon),1.990,1.720
3,14:04,2,8,CHI 48,13,21,"Jay Cutler pass complete short right to Devin Hester for 34 yards (tackle by Nate Allen). Penalty on Nate Allen: Horse Collar Tackle, 9 yards",1.720,5.140
3,13:36,1,9,PHI 9,13,27,"Jay Cutler pass complete short right to Greg Olsen for 9 yards, touchdown",5.140,7.000
3,,,,PHI 2,13,28,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,13,28,"Robbie Gould kicks off 64 yards, returned by Jorrick Calvin for 25 yards (tackle by Corey Graham)",0.000,1.000
3,13:20,1,10,PHI 31,13,28,Michael Vick pass incomplete deep right intended for Brent Celek,1.000,0.460
3,13:14,2,10,PHI 31,13,28,"Michael Vick sacked by Anthony Adams for -7 yards. Michael Vick fumbles (forced by Anthony Adams), recovered by Mike McGlynn at PHI-22",0.460,-1.420
3,12:23,,,,13,28,Timeout #1 by Philadelphia Eagles,0.000,-1.420
3,12:23,3,19,PHI 22,13,28,LeSean McCoy left guard for 13 yards (tackle by D.J. Moore),-1.420,-1.040
3,11:44,4,6,PHI 35,13,28,Saverio Rocca punts 53 yards,-1.040,0.350
3,11:31,1,10,CHI 12,13,28,"Matt Forte left guard for 9 yards (tackle by Nate Allen). Penalty on Chris Williams: Offensive Holding, 6 yards (no play)",-0.350,-0.610
3,11:12,1,16,CHI 6,13,28,Matt Forte right end for 28 yards (tackle by Quintin Mikell),-0.610,1.200
3,10:27,1,10,CHI 34,13,28,Jay Cutler for 12 yards (tackle by Brandon Graham),1.200,1.990
3,9:53,1,10,CHI 46,13,28,Chester Taylor left guard for -4 yards (tackle by Antonio Dixon),1.990,0.910
3,9:12,2,14,CHI 42,13,28,Matt Forte right guard for 9 yards (tackle by Stewart Bradley),0.910,1.420
3,8:33,3,5,PHI 49,13,28,Jay Cutler pass complete short middle to Matt Forte for 6 yards (tackle by Darryl Tapp),1.420,2.720
3,7:43,,,,13,28,Timeout #1 by Chicago Bears,0.000,2.720
3,7:43,1,10,PHI 43,13,28,Jay Cutler pass incomplete deep right intended for Johnny Knox (defended by Dimitri Patterson),2.720,2.180
3,7:37,2,10,PHI 43,13,28,Chester Taylor right end for 2 yards (tackle by Moise Fokou and Mike Patterson),2.180,1.750
3,6:53,3,8,PHI 41,13,28,Jay Cutler pass complete short right to Earl Bennett for 10 yards (tackle by Trevard Lindley),1.750,3.510
3,6:07,1,10,PHI 31,13,28,Jay Cutler right guard for -3 yards (tackle by Quintin Mikell),3.510,2.560
3,5:47,2,13,PHI 34,13,28,Jay Cutler pass complete short right to Matt Forte for 16 yards (tackle by Trevard Lindley),2.560,4.370
3,5:05,1,10,PHI 18,13,28,Matt Forte right end for 6 yards (tackle by Dimitri Patterson),4.370,4.810
3,4:29,2,4,PHI 12,13,28,Matt Forte right tackle for 2 yards (tackle by Brandon Graham),4.810,4.510
3,3:46,3,2,PHI 10,13,28,Jay Cutler pass complete short right to Brandon Manumaleuna for 6 yards (tackle by Stewart Bradley),4.510,6.280
3,3:01,1,4,PHI 4,13,28,Chester Taylor right guard for -2 yards (tackle by Trent Cole and Trevor Laws),6.280,4.950
3,2:18,2,6,PHI 6,13,28,Chester Taylor right guard for 1 yard (tackle by Nate Allen),4.950,4.260
3,1:35,3,5,PHI 5,13,28,Jay Cutler pass incomplete short left intended for Johnny Knox,4.260,3.010
3,1:30,4,5,PHI 5,13,31,Robbie Gould 23 yard field goal good,3.010,3.000
3,,,,CHI 30,13,31,"Robbie Gould kicks off 59 yards, returned by Jorrick Calvin for 20 yards (tackle by Josh Bullocks)",0.000,1.000
3,1:18,1,10,PHI 31,13,31,LeSean McCoy right guard for 5 yards (tackle by Israel Idonije),1.000,1.140
3,0:45,2,5,PHI 36,13,31,Michael Vick pass complete short middle to Jeremy Maclin for 24 yards (tackle by Tim Jennings and Major Wright),1.140,2.920
3,0:45,1,10,CHI 40,13,31,"Michael Vick for no gain. Michael Vick fumbles, recovered by Jason Avant at CHI-42",2.920,2.100
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,CHI 42,13,31,Michael Vick pass incomplete deep left intended for Jeremy Maclin,2.100,1.420
4,14:55,3,12,CHI 42,13,31,Michael Vick left end for 11 yards (tackle by Julius Peppers),1.420,1.410
4,14:25,4,1,CHI 31,13,31,Michael Vick left end for 2 yards (tackle by Lance Briggs),1.410,3.640
4,13:51,1,10,CHI 29,13,31,Michael Vick pass complete short left to LeSean McCoy for 21 yards (tackle by Major Wright),3.640,5.370
4,13:23,1,8,CHI 8,13,31,LeSean McCoy right end for 1 yard (tackle by Brian Urlacher),5.370,4.760
4,12:43,2,7,CHI 7,13,31,Michael Vick pass incomplete short right intended for Jason Avant (defended by Chris Harris),4.760,3.810
4,12:39,3,7,CHI 7,13,31,Michael Vick pass complete short left to Clay Harbor for 3 yards (tackle by Charles Tillman),3.810,3.030
4,11:56,4,4,CHI 4,16,31,David Akers 22 yard field goal good,3.030,3.000
4,,,,PHI 30,16,31,"David Akers kicks off 67 yards, returned by Danieal Manning for 51 yards (tackle by Keenan Clayton). Penalty on Nick Roach: Offensive Holding, 10 yards",0.000,0.040
4,11:42,1,10,CHI 18,16,31,Matt Forte right guard for 1 yard (tackle by Ernie Sims),0.040,-0.320
4,10:58,2,9,CHI 19,16,31,Jay Cutler pass complete short right to Johnny Knox for 34 yards (tackle by Trevard Lindley),-0.320,2.460
4,10:05,,,,16,31,Timeout #2 by Chicago Bears,0.000,2.460
4,10:05,1,10,PHI 47,16,31,Matt Forte left end for 1 yard (tackle by Stewart Bradley),2.460,2.050
4,9:20,2,9,PHI 46,16,31,Devin Hester left end for no gain (tackle by Moise Fokou),2.050,1.350
4,8:32,3,9,PHI 46,16,31,"Jay Cutler pass incomplete short middle intended for Matt Forte. Penalty on Jay Cutler: Unsportsmanlike Conduct, 15 yards",1.350,-0.780
4,8:28,4,24,CHI 39,16,31,"Brad Maynard punts 38 yards, returned by DeSean Jackson for 1 yard (tackle by Pisa Tinoisamoa)",-0.780,-0.540
4,8:19,1,10,PHI 24,16,31,Michael Vick pass incomplete short middle intended for Brent Celek,0.540,0.000
4,8:14,2,10,PHI 24,16,31,Michael Vick pass complete deep left to Jason Avant for 22 yards (tackle by Major Wright),0.000,1.990
4,7:25,1,10,PHI 46,16,31,"Michael Vick left tackle for 10 yards (tackle by Brian Urlacher). Penalty on Anthony Adams: Illegal Use of Hands, 5 yards",1.990,2.980
4,7:04,1,10,CHI 39,16,31,Michael Vick pass complete deep right to Riley Cooper for 29 yards (tackle by Danieal Manning),2.980,4.910
4,6:23,1,10,CHI 10,16,31,Michael Vick pass incomplete short left intended for DeSean Jackson,4.910,4.190
4,6:20,2,10,CHI 10,16,31,Michael Vick pass complete short left to LeSean McCoy for -9 yards (tackle by Israel Idonije),4.190,2.490
4,5:36,3,19,CHI 19,16,31,Michael Vick right end for 1 yard (tackle by Julius Peppers),2.490,2.250
4,4:52,4,18,CHI 18,19,31,David Akers 36 yard field goal good,2.250,3.000
4,,,,PHI 30,,,"David Akers kicks off 65 yards, returned by Devin Hester for 20 yards (tackle by Jamar Chaney)",,
4,4:42,1,10,CHI 25,19,31,Matt Forte left tackle for no gain (tackle by Trent Cole),0.610,0.060
4,4:35,,,,19,31,Timeout #2 by Philadelphia Eagles,0.000,0.060
4,4:35,2,10,CHI 25,19,31,Matt Forte left tackle for 1 yard (tackle by Antonio Dixon),0.060,-0.490
4,4:30,,,,19,31,Timeout #3 by Philadelphia Eagles,0.000,-0.490
4,4:30,3,9,CHI 26,19,31,Jay Cutler pass incomplete short right intended for Devin Hester (defended by Joselio Hanson),-0.490,-1.630
4,4:26,4,9,CHI 26,19,31,"Brad Maynard punts 42 yards, fair catch by DeSean Jackson",-1.630,-1.070
4,4:18,1,10,PHI 32,19,31,Michael Vick pass complete short left to Jason Avant for 7 yards (tackle by Charles Tillman),1.070,1.470
4,3:53,2,3,PHI 39,19,31,Michael Vick pass complete short right to LeSean McCoy for 5 yards (tackle by Brian Urlacher),1.470,1.860
4,3:31,1,10,PHI 44,19,31,Michael Vick pass complete short middle to LeSean McCoy for 7 yards (tackle by Lance Briggs),1.860,2.260
4,3:06,2,3,CHI 49,19,31,Michael Vick pass complete short middle to Jason Avant for 6 yards (tackle by D.J. Moore),2.260,2.720
4,2:45,1,10,CHI 43,19,31,Michael Vick pass complete short right to LeSean McCoy for 12 yards (tackle by D.J. Moore),2.720,3.510
4,2:28,1,10,CHI 31,19,31,Michael Vick spiked the ball,3.510,2.970
4,2:27,2,10,CHI 31,19,31,"Michael Vick pass incomplete deep right intended for Riley Cooper. Penalty on Riley Cooper: Offensive Pass Interfere, 10 yards (no play)",2.970,1.620
4,2:18,2,20,CHI 41,19,31,Michael Vick pass complete short middle to Brent Celek for 11 yards (tackle by Brian Urlacher),1.620,2.410
4,2:00,3,9,CHI 30,19,31,Michael Vick pass incomplete short middle intended for LeSean McCoy,2.410,1.410
4,1:54,4,9,CHI 30,25,31,"Michael Vick pass complete deep middle to Brent Celek for 30 yards, touchdown",1.410,7.000
4,,,,CHI 2,26,31,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,26,31,David Akers kicks onside 13 yards,0.000,2.720
4,1:47,1,10,PHI 43,26,31,Jay Cutler kneels for -1 yards,2.720,2.040
4,1:05,2,11,PHI 44,26,31,Jay Cutler kneels for -1 yards,2.040,1.220
4,0:35,3,12,PHI 45,26,31,Jay Cutler kneels for no gain,1.220,0.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
