Unnamed: 0,PHI,CHI
First Downs,24,18
Rush-Yds-TDs,22-105-0,28-131-0
Cmp-Att-Yd-TD-INT,29-44-333-2-1,14-21-247-4-0
Sacked-Yards,4-40,4-29
Net Pass Yards,293,218
Total Yards,398,349
Fumbles-Lost,4-0,0-0
Turnovers,1,0
Penalties-Yards,3-19,6-56
Third Down Conv.,4-13,3-10
Fourth Down Conv.,2-2,0-0
Time of Possession,31:58,28:02
