Quarter,Time,Tm,Detail,PHI,CHI
1.0,8:51,Eagles,David Akers 45 yard field goal,3,0
,6:56,Bears,Earl Bennett 10 yard pass from Jay Cutler (Robbie Gould kick),3,7
,2:25,Bears,Johnny Knox 20 yard pass from Jay Cutler (Robbie Gould kick),3,14
2.0,13:18,Eagles,Jeremy Maclin 8 yard pass from Michael Vick (David Akers kick),10,14
,8:08,Eagles,David Akers 36 yard field goal,13,14
,0:38,Bears,Earl Bennett 6 yard pass from Jay Cutler (Robbie Gould kick),13,21
3.0,13:29,Bears,Greg Olsen 9 yard pass from Jay Cutler (Robbie Gould kick),13,28
,1:26,Bears,Robbie Gould 23 yard field goal,13,31
4.0,11:51,Eagles,David Akers 22 yard field goal,16,31
,4:47,Eagles,David Akers 36 yard field goal,19,31
,1:48,Eagles,Brent Celek 30 yard pass from Michael Vick (David Akers kick),26,31
