Unnamed: 0,STL,PHI
First Downs,13,12
Rush-Yds-TDs,20-76-0,31-108-0
Cmp-Att-Yd-TD-INT,20-42-218-0-2,14-30-181-0-0
Sacked-Yards,8-44,3-24
Net Pass Yards,174,157
Total Yards,250,265
Fumbles-Lost,5-3,4-4
Turnovers,5,4
Penalties-Yards,5-35,9-65
Third Down Conv.,6-19,5-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:39,29:21
