Unnamed: 0,MIN,DAL
First Downs,27,24
Rush-Yds-TDs,36-153-1,22-50-0
Cmp-Att-Yd-TD-INT,23-32-220-2-0,28-47-397-3-1
Sacked-Yards,1-9,1-4
Net Pass Yards,211,393
Total Yards,364,443
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,5-35,5-39
Third Down Conv.,8-14,9-15
Fourth Down Conv.,1-1,0-2
Time of Possession,33:27,26:33
