Quarter,Time,Tm,Detail,MIN,DAL
1.0,9:25,Vikings,Kyle Rudolph 1 yard pass from Kirk Cousins (Dan Bailey kick),7,0
,0:32,Vikings,Kyle Rudolph 1 yard pass from Kirk Cousins (Dan Bailey kick),14,0
2.0,8:08,Cowboys,Michael Gallup 23 yard pass from Dak Prescott (Brett Maher kick),14,7
,1:54,Cowboys,Randall Cobb 22 yard pass from Dak Prescott (Brett Maher kick),14,14
,0:00,Vikings,Dan Bailey 26 yard field goal,17,14
3.0,9:38,Vikings,Dan Bailey 27 yard field goal,20,14
,7:01,Cowboys,Amari Cooper 12 yard pass from Dak Prescott (Brett Maher kick),20,21
,0:02,Vikings,Dalvin Cook 2 yard rush (Kyle Rudolph pass from Kirk Cousins),28,21
4.0,10:00,Cowboys,Brett Maher 23 yard field goal,28,24
