Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left tackle for 3 yards (tackle by Everson Griffen and Eric Kendricks),0.610,0.470
1,14:27,2,7,DAL 28,0,0,Dak Prescott pass complete short middle to Amari Cooper for 5 yards (tackle by Eric Kendricks),0.470,0.430
1,14:00,3,2,DAL 33,0,0,Dak Prescott pass complete short left to Randall Cobb for 8 yards (tackle by Anthony Barr). Penalty on Anthony Barr: Defensive Holding (Declined),0.430,1.660
1,13:52,1,10,DAL 41,0,0,Ezekiel Elliott up the middle for 2 yards (tackle by Anthony Barr and Harrison Smith),1.660,1.390
1,13:18,2,8,DAL 43,0,0,Dak Prescott pass complete short right to Amari Cooper for 14 yards (tackle by Mike Hughes),1.390,2.720
1,12:42,1,10,MIN 43,0,0,Ezekiel Elliott left end for 4 yards (tackle by Xavier Rhodes and Eric Kendricks),2.720,2.720
1,12:16,2,6,MIN 39,0,0,Dak Prescott pass incomplete short left intended for Jason Witten,2.720,2.010
1,12:12,3,6,MIN 39,0,0,Dak Prescott pass incomplete short right intended for Randall Cobb,2.010,0.660
1,12:08,4,6,MIN 39,0,0,Brett Maher 57 yard field goal no good,0.660,-2.060
1,12:03,1,10,MIN 47,0,0,Dalvin Cook left tackle for -1 yards (tackle by Maliek Collins and Antwaun Woods),2.060,1.380
1,11:31,2,11,MIN 46,0,0,Kirk Cousins pass complete short right to Dalvin Cook for 12 yards (tackle by Leighton Vander Esch),1.380,2.790
1,10:52,1,10,DAL 42,0,0,"Penalty on Stefon Diggs: False Start, 5 yards (no play)",2.790,2.460
1,10:38,1,15,DAL 47,0,0,"Kirk Cousins pass complete short right to Dalvin Cook for 27 yards (tackle by Chidobe Awuzie). Penalty on Chidobe Awuzie: Face Mask (15 Yards), 10 yards",2.460,4.910
1,10:13,1,10,DAL 10,0,0,Alexander Mattison left tackle for 9 yards (tackle by Jeff Heath and Chidobe Awuzie),4.910,5.910
1,9:33,2,1,DAL 1,6,0,"Kirk Cousins pass complete short left to Kyle Rudolph for 1 yard, touchdown",5.910,7.000
1,9:25,,,DAL 15,7,0,Dan Bailey kicks extra point good,0.000,0.000
1,9:25,,,MIN 35,7,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,9:25,1,10,DAL 25,7,0,Ezekiel Elliott right guard for 4 yards (tackle by Everson Griffen),0.610,0.600
1,8:53,2,6,DAL 29,7,0,Ezekiel Elliott left end for 4 yards (tackle by Jaleel Johnson),0.600,0.430
1,8:12,3,2,DAL 33,7,0,Dak Prescott pass complete short right to Amari Cooper for 15 yards (tackle by Mike Hughes),0.430,2.130
1,7:43,1,10,DAL 48,7,0,Ezekiel Elliott right guard for 4 yards (tackle by Anthony Barr),2.130,2.120
1,7:08,2,6,MIN 48,7,0,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Anthony Harris),2.120,1.420
1,7:03,3,6,MIN 48,7,0,Dak Prescott pass incomplete short middle intended for Jason Witten (defended by Holton Hill),1.420,0.070
1,6:58,4,6,MIN 48,7,0,"Chris Jones punts 38 yards, fair catch by Mike Hughes at MIN-10",0.070,0.380
1,6:51,1,10,MIN 10,7,0,Dalvin Cook left tackle for 2 yards (tackle by DeMarcus Lawrence and Antwaun Woods),-0.380,-0.630
1,6:14,2,8,MIN 12,7,0,Dalvin Cook left tackle for 3 yards (tackle by Sean Lee and Leighton Vander Esch),-0.630,-0.840
1,5:33,3,5,MIN 15,7,0,Kirk Cousins pass complete short left to Stefon Diggs for 11 yards (tackle by Byron Jones),-0.840,0.670
1,4:54,1,10,MIN 26,7,0,Dalvin Cook left tackle for 6 yards (tackle by Robert Quinn and Jaylon Smith),0.670,0.940
1,4:33,2,4,MIN 32,7,0,Kirk Cousins pass incomplete deep left intended for Olabisi Johnson,0.940,0.230
