Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
1,6:49,1,10,CAR 38,7,0,Cam Newton pass complete short left to Curtis Samuel for 9 yards (tackle by Matt Judon),1.470,2.140
1,6:18,2,1,CAR 47,7,0,Christian McCaffrey up the middle for 2 yards (tackle by Matt Judon),2.140,2.190
1,5:34,1,10,CAR 49,7,0,Cam Newton pass incomplete short left,2.190,1.650
1,5:28,2,10,CAR 49,7,0,C.J. Anderson left guard for 4 yards (tackle by C.J. Mosley and Kenny Young),1.650,1.490
1,4:45,3,6,BAL 47,7,0,Cam Newton pass incomplete short middle intended for Jarius Wright,1.490,0.130
1,4:40,4,6,BAL 47,7,0,Michael Palardy punts 46 yards downed by Curtis Samuel,0.130,0.380
1,4:31,1,10,BAL 1,7,0,Joe Flacco pass complete short left to John Brown for 5 yards (tackle by Donte Jackson and Thomas Davis),-0.380,-0.420
1,3:54,2,5,BAL 6,7,0,Alex Collins right guard for 4 yards (tackle by James Bradberry and Shaq Thompson),-0.420,-0.370
1,3:10,3,1,BAL 10,7,0,Lamar Jackson pass incomplete short right intended for Willie Snead,-0.370,-2.490
1,3:02,4,1,BAL 10,7,0,"Anthony Levine up the middle for no gain (tackle by David Mayo) Penalty on BAL: Illegal Shift, 5 yards (no play)",-2.490,-2.490
1,3:01,4,6,BAL 5,7,0,"Sam Koch punts 53 yards, returned by Damiere Byrd for 4 yards (tackle by Chris Board)",-2.490,-1.990
1,2:50,1,10,CAR 46,7,0,Cam Newton pass complete short right to D.J. Moore for 7 yards (tackle by Matt Judon and Tony Jefferson),1.990,2.400
1,2:07,2,3,BAL 47,7,0,Cam Newton pass complete short right to D.J. Moore for 18 yards (tackle by Tony Jefferson and Eric Weddle),2.400,3.640
1,1:24,1,10,BAL 29,7,0,Cam Newton pass complete deep left to Devin Funchess for 18 yards (tackle by C.J. Mosley and Tony Jefferson),3.640,4.840
1,0:42,,,,,,Timeout #1 by Baltimore Ravens,,
1,0:42,1,10,BAL 11,7,6,"Christian McCaffrey left end for 11 yards, touchdown",4.840,7.000
1,0:36,,,BAL 15,7,7,Graham Gano kicks extra point good,0.000,0.000
1,0:36,,,CAR 35,7,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,0:36,1,10,BAL 25,7,7,Joe Flacco pass complete short right to Mark Andrews for 6 yards (tackle by Shaq Thompson),0.610,0.870
Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,BAL 31,7,7,"Alex Collins up the middle for -11 yards (tackle by Kyle Love). Alex Collins fumbles (forced by Kyle Love), recovered by Vernon Butler at BAL-12 (tackle by Marshal Yanda)",0.870,-4.780
2,14:53,1,10,BAL 12,7,7,Cam Newton right end for 2 yards (tackle by C.J. Mosley),4.780,4.450
2,14:15,2,8,BAL 10,7,7,Cam Newton pass complete short left to Devin Funchess for -1 yards (tackle by Matt Judon),4.450,3.290
2,13:30,3,9,BAL 11,7,13,"Cam Newton pass complete short left to Greg Olsen for 11 yards, touchdown",3.290,7.000
2,13:25,,,BAL 15,7,14,Graham Gano kicks extra point good,0.000,0.000
2,13:25,,,CAR 35,7,14,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,13:25,1,10,BAL 25,7,14,Joe Flacco pass complete short middle to Michael Crabtree for 13 yards (tackle by James Bradberry),0.610,1.470
2,12:53,1,10,BAL 38,7,14,Joe Flacco pass incomplete deep right intended for Michael Crabtree,1.470,0.920
2,12:46,2,10,BAL 38,7,14,Alex Collins right guard for 15 yards (tackle by Mike Adams),0.920,2.460
2,12:00,1,10,CAR 47,7,14,Alex Collins right tackle for no gain (tackle by Kyle Love and Vernon Butler),2.460,1.910
2,11:25,2,10,CAR 47,7,14,Joe Flacco sacked by Donte Jackson for -8 yards,1.910,0.170
2,10:40,3,18,BAL 45,7,14,Joe Flacco pass complete short left to Michael Crabtree for 11 yards (tackle by Captain Munnerlyn),0.170,0.330
2,9:59,4,7,CAR 44,7,14,Sam Koch punts 43 yards downed by Cyrus Jones,0.330,0.380
2,9:48,1,10,CAR 1,7,14,Cam Newton up the middle for 1 yard (tackle by Brandon Williams),-0.380,-0.710
2,9:05,2,9,CAR 2,7,14,Cam Newton pass complete deep left to D.J. Moore for 33 yards (tackle by C.J. Mosley),-0.710,1.270
2,8:22,1,10,CAR 35,7,14,C.J. Anderson up the middle for 3 yards (tackle by Kenny Young),1.270,1.130
2,7:44,2,7,CAR 38,7,14,Cam Newton pass incomplete short right intended for Christian McCaffrey,1.130,0.430
2,7:39,3,7,CAR 38,7,14,Cam Newton pass complete short left to Christian McCaffrey for 8 yards (tackle by C.J. Mosley and Jimmy Smith),0.430,1.990
2,6:59,1,10,CAR 46,7,14,Cam Newton pass complete short right to Jarius Wright for -2 yards (tackle by Tavon Young),1.990,1.180
2,6:12,2,12,CAR 44,7,14,Cam Newton pass complete short left to Curtis Samuel for 11 yards (tackle by Jimmy Smith and Matt Judon),1.180,1.950
2,5:26,3,1,BAL 45,7,14,"Cam Newton for 28 yards. Cam Newton fumbles, recovered by D.J. Moore at CAR-46 (tackle by Brandon Carr)",1.950,4.440
2,4:40,1,10,BAL 17,7,14,D.J. Moore left end for 11 yards (tackle by Patrick Onwuasor),4.440,5.830
2,3:52,1,6,BAL 6,7,20,"Cam Newton pass complete short middle to Christian McCaffrey for 6 yards, touchdown",5.830,7.000
2,3:45,,,BAL 15,7,21,Graham Gano kicks extra point good,0.000,0.000
2,3:45,,,CAR 35,7,21,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,3:45,1,10,BAL 25,7,21,Joe Flacco pass complete short right to Alex Collins for 4 yards (tackle by Shaq Thompson),0.610,0.600
2,3:21,2,6,BAL 29,7,21,Joe Flacco pass incomplete deep right intended for Willie Snead,0.600,-0.100
2,3:15,,,,,,Timeout #1 by Carolina Panthers,,
2,3:15,3,6,BAL 29,7,21,Joe Flacco pass complete short right to Javorius Allen for 5 yards (tackle by James Bradberry and Shaq Thompson),-0.100,-1.110
2,2:31,,,,,,Timeout #2 by Carolina Panthers,,
2,2:31,4,1,BAL 34,7,21,Joe Flacco up the middle for 1 yard (tackle by Julius Peppers and Shaq Thompson),-1.110,1.270
2,2:11,1,10,BAL 35,7,21,"Joe Flacco pass complete short middle to Nick Boyle for 6 yards (tackle by Shaq Thompson and Luke Kuechly). Penalty on Julius Peppers: Defensive Offside, 5 yards (no play)",1.270,2.000
2,2:00,1,5,BAL 40,7,21,Joe Flacco pass incomplete deep left intended for Michael Crabtree,2.000,1.400
2,1:53,2,5,BAL 40,7,21,"Joe Flacco pass complete short left to Willie Snead for 15 yards (tackle by Eric Reid). Penalty on Willie Snead: Offensive Pass Interference, 10 yards (no play)",1.400,0.050
2,1:48,2,15,BAL 30,7,21,Joe Flacco pass complete short left to John Brown for 14 yards,0.050,1.220
2,1:43,3,1,BAL 44,7,21,Lamar Jackson up the middle for 3 yards (tackle by Dontari Poe),1.220,2.060
2,1:19,1,10,BAL 47,7,21,Joe Flacco pass complete short right to Willie Snead for 3 yards,2.060,1.920
2,1:16,2,7,BAL 50,7,21,Joe Flacco pass incomplete deep right intended for John Brown,1.920,1.220
2,1:11,3,7,BAL 50,7,21,"Joe Flacco pass complete short left to Willie Snead for 9 yards (tackle by Captain Munnerlyn). Penalty on Willie Snead: Offensive Pass Interference, 10 yards (no play)",1.220,-0.100
2,1:06,3,17,BAL 40,7,21,Joe Flacco pass deep right intended for Javorius Allen is intercepted by Mike Adams at CAR-36 and returned for -7 yards,-0.100,-0.870
2,0:52,1,10,CAR 29,7,21,Cam Newton pass complete deep middle to D.J. Moore for 19 yards (tackle by Brandon Carr),0.870,2.130
2,0:27,1,10,CAR 48,7,21,Cam Newton pass complete short right to Christian McCaffrey for -3 yards (tackle by Tony Jefferson),2.130,1.180
2,0:21,2,13,CAR 45,7,21,Cam Newton up the middle for 11 yards (tackle by Matt Judon and Za'Darius Smith),1.180,1.950
2,0:11,,,,,,Timeout #3 by Carolina Panthers,,
2,0:11,3,2,BAL 44,7,21,Cam Newton pass incomplete short left,1.950,0.330
2,0:05,4,2,BAL 44,7,21,"Penalty on CAR: Delay of Game, 5 yards (no play)",0.330,0.000
2,0:05,4,7,BAL 49,7,21,Taylor Heinicke pass complete short left to Greg Olsen for 13 yards,0.000,3.180
2,0:02,1,10,BAL 36,7,24,Graham Gano 54 yard field goal good,3.180,-3.000
Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,7,24,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,7,24,Christian McCaffrey left guard for 3 yards (tackle by Patrick Onwuasor),0.610,0.470
3,14:19,2,7,CAR 28,7,24,Cam Newton right end for 1 yard (tackle by C.J. Mosley),0.470,-0.100
3,13:48,3,6,CAR 29,7,24,Cam Newton pass complete short right to Jarius Wright for 7 yards (tackle by Anthony Levine and C.J. Mosley),-0.100,1.330
3,13:05,1,10,CAR 36,7,24,Cam Newton pass incomplete short left intended for D.J. Moore (defended by Jimmy Smith),1.330,0.790
3,12:59,2,10,CAR 36,7,24,Christian McCaffrey left end for 6 yards (tackle by Jimmy Smith and Matt Judon),0.790,0.890
3,12:15,3,4,CAR 42,7,24,Cam Newton pass incomplete deep left intended for Damiere Byrd,0.890,-0.590
3,12:09,4,4,CAR 42,7,24,"Michael Palardy punts 52 yards, returned by Cyrus Jones for 5 yards (tackle by Colin Jones) Penalty on CAR: Illegal Formation, 5 yards (no play)",-0.590,-0.910
3,11:59,4,9,CAR 37,7,24,"Michael Palardy punts 51 yards, returned by Cyrus Jones for 23 yards (tackle by D.J. Moore)",-0.910,-1.270
3,11:47,1,10,BAL 35,7,24,Joe Flacco pass incomplete deep left intended for John Brown,1.270,0.720
3,11:43,2,10,BAL 35,7,24,Joe Flacco pass complete short middle to Chris Moore for 12 yards (tackle by James Bradberry),0.720,2.060
3,11:12,1,10,BAL 47,7,24,Joe Flacco pass incomplete short middle intended for Willie Snead,2.060,1.520
3,11:07,2,10,BAL 47,7,24,Joe Flacco pass incomplete deep right intended for John Brown (defended by Donte Jackson),1.520,0.830
3,11:03,3,10,BAL 47,7,24,Joe Flacco pass complete short left to Nick Boyle for 7 yards (tackle by Luke Kuechly),0.830,0.200
3,10:25,4,3,CAR 46,7,24,Joe Flacco pass incomplete short left intended for Willie Snead,0.200,-1.990
3,10:19,1,10,CAR 46,7,24,C.J. Anderson up the middle for 1 yard (tackle by Terrell Suggs and C.J. Mosley),1.990,1.590
3,9:41,2,9,CAR 47,7,24,Cam Newton up the middle for 5 yards (tackle by Jimmy Smith),1.590,1.550
3,8:50,3,4,BAL 48,7,24,Cam Newton pass complete short left to Christian McCaffrey for no gain (tackle by Tavon Young),1.550,0.070
3,8:09,4,4,BAL 48,7,24,Michael Palardy punts 40 yards out of bounds,0.070,0.380
3,8:01,1,10,BAL 8,7,24,Alex Collins up the middle for 4 yards (tackle by Luke Kuechly),-0.380,-0.490
3,7:23,2,6,BAL 12,7,24,Alex Collins right end for 7 yards (tackle by Luke Kuechly),-0.490,0.150
3,6:51,1,10,BAL 19,7,24,Joe Flacco pass complete short middle to Michael Crabtree for 7 yards (tackle by Luke Kuechly),0.150,0.610
3,6:17,2,3,BAL 26,7,24,Joe Flacco pass incomplete short left intended for Mark Andrews,0.610,-0.160
3,6:12,3,3,BAL 26,7,24,Joe Flacco pass complete short right to Mark Andrews for 10 yards (tackle by James Bradberry and Shaq Thompson),-0.160,1.330
3,5:40,1,10,BAL 36,7,24,Joe Flacco pass short middle intended for Willie Snead is intercepted by Captain Munnerlyn at CAR-49 and returned for 2 yards,1.330,-2.320
3,5:31,1,10,BAL 49,7,24,Cam Newton pass complete short right to Ian Thomas for 15 yards (tackle by Tony Jefferson),2.320,3.310
3,4:53,1,10,BAL 34,7,24,Christian McCaffrey up the middle for -2 yards (tackle by Michael Pierce),3.310,2.500
3,4:14,2,12,BAL 36,7,24,C.J. Anderson left end for 7 yards (tackle by Eric Weddle),2.500,2.740
3,3:41,3,5,BAL 29,7,24,Cam Newton up the middle for 3 yards (tackle by Terrell Suggs and Tim Williams),2.740,1.860
3,3:03,4,2,BAL 26,7,27,Graham Gano 44 yard field goal good,1.860,3.000
3,2:58,,,CAR 35,7,27,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,2:58,1,10,BAL 25,7,27,Joe Flacco pass complete short middle to Alex Collins for 10 yards (tackle by Thomas Davis and Luke Kuechly),0.610,1.270
3,2:31,1,10,BAL 35,7,27,Alex Collins left tackle for 9 yards (tackle by Wes Horton),1.270,1.940
3,2:07,2,1,BAL 44,7,27,Joe Flacco pass incomplete short middle intended for Nick Boyle (defended by Thomas Davis),1.940,1.220
3,2:02,3,1,BAL 44,7,27,Joe Flacco pass complete short left to Willie Snead for 19 yards (tackle by Eric Reid),1.220,3.120
3,1:47,1,10,CAR 37,7,27,Joe Flacco pass complete short middle to Javorius Allen for 4 yards (tackle by Shaq Thompson),3.120,3.110
3,1:22,2,6,CAR 33,7,27,Joe Flacco pass incomplete deep left intended for Willie Snead,3.110,2.410
3,1:16,3,6,CAR 33,7,27,Joe Flacco pass complete short middle to Willie Snead for 18 yards (tackle by Captain Munnerlyn),2.410,4.580
3,0:48,1,10,CAR 15,7,27,Alex Collins right guard for 6 yards (tackle by Thomas Davis and Shaq Thompson),4.580,5.030
3,0:19,2,4,CAR 9,7,27,Joe Flacco pass incomplete short middle intended for Hayden Hurst (defended by Luke Kuechly),5.030,4.220
3,0:16,3,4,CAR 9,13,27,"Joe Flacco pass complete short right to Javorius Allen for 9 yards, touchdown",4.220,7.000
3,0:10,,,CAR 15,14,27,Justin Tucker kicks extra point good,0.000,0.000
3,0:10,,,BAL 35,14,27,"Justin Tucker kicks off 64 yards, returned by Curtis Samuel for no gain (tackle by Chris Moore)",0.000,-0.220
3,0:06,1,10,CAR 15,14,27,Cam Newton pass incomplete short right,-0.220,-0.710
Quarter,Time,Down,ToGo,Location,BAL,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CAR 15,14,27,Cam Newton pass complete short left to Curtis Samuel for 8 yards (tackle by C.J. Mosley),-0.710,-0.390
4,14:20,3,2,CAR 23,14,27,Cam Newton pass complete short middle to Greg Olsen for 17 yards (tackle by Eric Weddle),-0.390,1.600
4,13:51,1,10,CAR 40,14,27,C.J. Anderson right guard for 5 yards (tackle by Brent Urban),1.600,1.730
4,13:06,2,5,CAR 45,14,27,Cam Newton pass complete short middle to Greg Olsen for 15 yards (tackle by Jimmy Smith),1.730,2.920
4,12:22,1,10,BAL 40,14,27,Cam Newton left end for 9 yards (tackle by Tyus Bowser and Brent Urban),2.920,3.590
4,11:32,2,1,BAL 31,14,27,Christian McCaffrey up the middle for 12 yards (tackle by Eric Weddle and Tony Jefferson),3.590,4.310
4,10:46,1,10,BAL 19,14,27,Cam Newton left end for 7 yards (tackle by Eric Weddle),4.310,4.920
4,9:59,2,3,BAL 12,14,33,"Cam Newton left end for 12 yards, touchdown",4.920,7.000
4,9:52,,,BAL 2,14,33,"Two Point Attempt: Cam Newton pass incomplete intended for Christian McCaffrey, conversion fails",0.000,-1.000
4,9:52,,,CAR 35,14,33,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,9:52,1,10,BAL 25,14,33,Joe Flacco pass incomplete short left intended for Nick Boyle,0.610,0.060
4,9:48,2,10,BAL 25,14,33,Joe Flacco sacked by Eric Reid for -6 yards,0.060,-1.510
4,9:09,3,16,BAL 19,14,33,Joe Flacco pass incomplete short right intended for Javorius Allen,-1.510,-2.140
4,9:05,4,16,BAL 19,14,33,"Penalty on Morgan Cox: False Start, 5 yards (no play)",-2.140,-2.470
4,9:05,4,21,BAL 14,14,33,"Sam Koch punts 57 yards, returned by Damiere Byrd for 17 yards (tackle by Chuck Clark)",-2.470,-1.990
4,8:51,1,10,CAR 46,14,33,Cam Newton right end for 1 yard (tackle by Matt Judon),1.990,1.590
4,8:10,2,9,CAR 47,14,33,Cam Newton pass complete short left to Devin Funchess for 10 yards (tackle by Jimmy Smith),1.590,2.720
4,7:25,1,10,BAL 43,14,33,Christian McCaffrey right guard for 1 yard (tackle by Chris Wormley and Matt Judon),2.720,2.310
4,6:38,2,9,BAL 42,14,33,Cam Newton pass incomplete short right intended for Christian McCaffrey,2.310,1.620
4,6:35,3,9,BAL 42,14,33,Christian McCaffrey up the middle for 12 yards (tackle by Eric Weddle),1.620,3.580
4,5:49,1,10,BAL 30,14,33,Christian McCaffrey right tackle for 1 yard (tackle by Tony Jefferson and Tyus Bowser),3.580,3.170
4,5:02,2,9,BAL 29,14,33,"Christian McCaffrey right guard for 3 yards (tackle by Brandon Williams and Patrick Onwuasor). Penalty on Brandon Williams: Face Mask (15 Yards), 13 yards",3.170,4.710
4,4:57,1,10,BAL 13,14,33,Christian McCaffrey up the middle for no gain (tackle by Michael Pierce and Brandon Williams),4.710,4.050
4,4:11,2,10,BAL 13,14,33,"Christian McCaffrey left guard for no gain (tackle by Brandon Williams). Penalty on Brandon Williams: Defensive Offside, 5 yards (no play)",4.050,4.960
4,4:06,2,5,BAL 8,14,33,Christian McCaffrey up the middle for no gain (tackle by Brandon Williams and Za'Darius Smith),4.960,4.100
4,3:20,3,5,BAL 8,14,33,Christian McCaffrey right guard for -4 yards (tackle by Patrick Onwuasor),4.100,2.630
4,3:14,,,,,,Timeout #1 by Baltimore Ravens,,
4,3:14,4,9,BAL 12,14,36,Graham Gano 30 yard field goal good,2.630,3.000
4,3:10,,,CAR 35,14,36,"Graham Gano kicks off 68 yards, returned by Chris Moore for no gain (tackle by David Mayo)",0.000,1.330
4,3:03,1,10,BAL 36,14,36,Gus Edwards right guard for 8 yards (tackle by Eric Reid),1.330,1.870
4,2:39,2,2,BAL 44,14,36,Gus Edwards left end for 4 yards (tackle by Thomas Davis),1.870,2.130
4,2:16,1,10,BAL 48,14,36,Lamar Jackson pass complete short middle to Gus Edwards for 7 yards (tackle by Shaq Thompson and Eric Reid),2.130,2.530
4,2:09,,,,,,Timeout #2 by Baltimore Ravens,,
4,2:09,2,3,CAR 45,14,36,Lamar Jackson up the middle for 6 yards (tackle by Shaq Thompson),2.530,2.980
4,2:00,1,10,CAR 39,14,36,Lamar Jackson pass complete short left to Chris Moore for 7 yards (tackle by Shaq Thompson and Colin Jones),2.980,3.390
4,1:31,2,3,CAR 32,14,36,Lamar Jackson pass complete short middle to Willie Snead for 6 yards (tackle by Jermaine Carter),3.390,3.840
4,1:08,1,10,CAR 26,20,36,"Lamar Jackson pass complete deep left to Hayden Hurst for 26 yards, touchdown",3.840,7.000
4,1:02,,,CAR 15,21,36,Justin Tucker kicks extra point good,0.000,0.000
4,1:02,,,BAL 35,21,36,"Justin Tucker kicks off 25 yards, out of bounds",0.000,1.600
4,1:02,1,10,CAR 40,21,36,Taylor Heinicke kneels for -1 yards,1.600,0.920
4,0:37,2,11,CAR 39,21,36,Taylor Heinicke kneels for -1 yards,0.920,0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
