Quarter,Time,Tm,Detail,BAL,CAR
1.0,7:50,Ravens,Alex Collins 14 yard rush (Justin Tucker kick),7,0
,0:36,Panthers,Christian McCaffrey 11 yard rush (Graham Gano kick),7,7
2.0,13:25,Panthers,Greg Olsen 11 yard pass from Cam Newton (Graham Gano kick),7,14
,3:45,Panthers,Christian McCaffrey 6 yard pass from Cam Newton (Graham Gano kick),7,21
,0:00,Panthers,Graham Gano 54 yard field goal,7,24
3.0,2:58,Panthers,Graham Gano 44 yard field goal,7,27
,0:10,Ravens,Javorius Allen 9 yard pass from Joe Flacco (Justin Tucker kick),14,27
4.0,9:52,Panthers,Cam Newton 12 yard rush (pass failed),14,33
,3:10,Panthers,Graham Gano 30 yard field goal,14,36
,1:02,Ravens,Hayden Hurst 26 yard pass from Lamar Jackson (Justin Tucker kick),21,36
