Unnamed: 0,BAL,CAR
First Downs,20,22
Rush-Yds-TDs,18-101-1,33-154-2
Cmp-Att-Yd-TD-INT,26-44-238-2-2,22-30-232-2-0
Sacked-Yards,2-14,0-0
Net Pass Yards,224,232
Total Yards,325,386
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,9-68,4-30
Third Down Conv.,6-12,6-12
Fourth Down Conv.,1-2,1-1
Time of Possession,25:59,34:01
