Quarter,Time,Tm,Detail,NWE,NYJ
2.0,13:17,Patriots,Wes Welker 6 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,6:22,Jets,Braylon Edwards 10 yard pass from Mark Sanchez (Nick Folk kick),7,7
,0:53,Patriots,Randy Moss 34 yard pass from Tom Brady (Stephen Gostkowski kick),14,7
,0:00,Jets,Nick Folk 49 yard field goal,14,10
3.0,4:53,Jets,Nick Folk 36 yard field goal,14,13
,0:38,Jets,Jerricho Cotchery 2 yard pass from Mark Sanchez (Braylon Edwards pass from Mark Sanchez),14,21
4.0,6:09,Jets,Dustin Keller 1 yard pass from Mark Sanchez (Nick Folk kick),14,28
