Unnamed: 0,SFO,ARI
First Downs,19,20
Rush-Yds-TDs,28-152-1,27-94-1
Cmp-Att-Yd-TD-INT,15-29-192-0-1,22-31-239-1-0
Sacked-Yards,2-6,2-29
Net Pass Yards,186,210
Total Yards,338,304
Fumbles-Lost,0-0,4-1
Turnovers,1,1
Penalties-Yards,7-60,6-62
Third Down Conv.,3-11,3-10
Fourth Down Conv.,1-5,0-0
Time of Possession,31:54,28:06
