Unnamed: 0,PHI,WAS
First Downs,30,21
Rush-Yds-TDs,31-134-1,29-100-3
Cmp-Att-Yd-TD-INT,37-50-374-2-1,16-23-220-0-1
Sacked-Yards,3-13,2-15
Net Pass Yards,361,205
Total Yards,495,305
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,13-102,3-15
Third Down Conv.,9-16,2-9
Fourth Down Conv.,0-0,0-0
Time of Possession,32:04,27:56
