Quarter,Time,Tm,Detail,NYJ,NWE
1.0,11:45,Jets,Doug Brien 41 yard field goal,3,0
,5:58,Patriots,Adam Vinatieri 24 yard field goal,3,3
2.0,14:50,Patriots,Adam Vinatieri 22 yard field goal,3,6
,6:33,Jets,Doug Brien 39 yard field goal,6,6
3.0,10:10,Patriots,Adam Vinatieri 47 yard field goal,6,9
,5:37,Jets,Doug Brien 30 yard field goal,9,9
,2:08,Patriots,Tom Brady 1 yard rush (Adam Vinatieri kick),9,16
4.0,14:49,Patriots,Asante Samuel 55 yard interception return (Adam Vinatieri kick),9,23
,12:53,Jets,Wayne Chrebet 29 yard pass from Vinny Testaverde (Doug Brien kick),16,23
