Quarter,Time,Tm,Detail,GNB,BUF
1.0,4:27,Packers,Mason Crosby 45 yard field goal,3,0
,2:09,Bills,Marcus Thigpen 75 yard punt return (Dan Carpenter kick),3,7
2.0,14:14,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),10,7
,8:04,Bills,Dan Carpenter 27 yard field goal,10,10
3.0,9:21,Bills,Dan Carpenter 51 yard field goal,10,13
,4:18,Bills,Dan Carpenter 35 yard field goal,10,16
4.0,9:23,Bills,Dan Carpenter 48 yard field goal,10,19
,4:51,Packers,Mason Crosby 34 yard field goal,13,19
,1:51,Bills,"Safety, Eddie Lacy tackled in the end zone by Nickell Robey.",13,21
