#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:19,BUF 26,5,3:09,19,Punt
2,1,9:21,GNB 48,3,1:30,-9,Punt
3,1,4:27,BUF 26,3,1:06,-8,Punt
4,2,14:14,BUF 20,10,6:10,71,Field Goal
5,2,6:01,BUF 34,3,1:26,4,Punt
6,2,2:55,BUF 37,2,0:11,0,Interception
7,2,1:38,BUF 2,3,1:38,9,End of Half
8,3,15:00,BUF 27,11,5:39,40,Field Goal
9,3,7:36,BUF 22,8,3:18,61,Field Goal
10,3,3:30,GNB 29,3,2:27,-15,Punt
11,4,11:03,BUF 48,5,1:40,22,Field Goal
12,4,4:51,BUF 20,8,2:53,33,Punt
13,4,1:51,GNB 33,3,1:51,-4,End of Game
