Quarter,Time,Tm,Detail,JAX,BUF
1.0,13:01,Bills,Lee Evans 45 yard pass from Ryan Fitzpatrick (Rian Lindell kick),0,7
,9:07,Bills,Rian Lindell 29 yard field goal,0,10
,5:58,Jaguars,Josh Scobee 49 yard field goal,3,10
2.0,12:08,Bills,Rian Lindell 22 yard field goal,3,13
,5:52,Jaguars,Josh Scobee 49 yard field goal,6,13
,0:25,Jaguars,Marcedes Lewis 1 yard pass from David Garrard (Josh Scobee kick),13,13
3.0,13:22,Jaguars,Marcedes Lewis 27 yard pass from David Garrard (Josh Scobee kick),20,13
,6:56,Bills,Stevie Johnson 5 yard pass from Ryan Fitzpatrick (Rian Lindell kick),20,20
,1:28,Jaguars,Mike Sims-Walker 7 yard pass from David Garrard (Josh Scobee kick),27,20
4.0,11:44,Jaguars,Josh Scobee 34 yard field goal,30,20
,6:27,Jaguars,Josh Scobee 40 yard field goal,33,20
,2:40,Jaguars,Josh Scobee 46 yard field goal,36,20
,1:34,Bills,Stevie Johnson 7 yard pass from Ryan Fitzpatrick (pass failed),36,26
