Unnamed: 0,JAX,BUF
First Downs,21,17
Rush-Yds-TDs,40-216-0,21-110-0
Cmp-Att-Yd-TD-INT,16-20-178-3-1,20-30-220-3-0
Sacked-Yards,2-13,3-24
Net Pass Yards,165,196
Total Yards,381,306
Fumbles-Lost,3-2,2-0
Turnovers,3,0
Penalties-Yards,5-38,5-35
Third Down Conv.,4-11,3-11
Fourth Down Conv.,0-1,0-2
Time of Possession,34:21,25:39
