Quarter,Time,Tm,Detail,GNB,CHI
1.0,6:45,Bears,Khalil Herbert 1 yard rush (Cairo Santos kick),0,7
2.0,9:59,Packers,Allen Lazard 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
,4:09,Packers,Mason Crosby 39 yard field goal,10,7
3.0,6:00,Packers,Aaron Jones 12 yard pass from Aaron Rodgers (Mason Crosby kick),17,7
4.0,8:44,Bears,Darnell Mooney 5 yard pass from Justin Fields (Cairo Santos kick),17,14
,4:30,Packers,Aaron Rodgers 6 yard rush (Mason Crosby kick),24,14
