Unnamed: 0,GNB,CHI
First Downs,22,21
Rush-Yds-TDs,31-154-1,26-140-1
Cmp-Att-Yd-TD-INT,17-23-195-2-0,16-27-174-1-1
Sacked-Yards,3-26,4-37
Net Pass Yards,169,137
Total Yards,323,277
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,3-51,7-54
Third Down Conv.,2-8,4-11
Fourth Down Conv.,1-1,1-2
Time of Possession,32:17,27:43
