Unnamed: 0,BAL,CIN
First Downs,17,14
Rush-Yds-TDs,42-157-1,22-77-0
Cmp-Att-Yd-TD-INT,9-17-121-1-1,16-31-170-0-4
Sacked-Yards,1-10,5-26
Net Pass Yards,111,144
Total Yards,268,221
Fumbles-Lost,1-0,1-1
Turnovers,1,5
Penalties-Yards,11-85,9-66
Third Down Conv.,6-14,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,34:00,26:00
