Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
3,14:12,2,13,BAL 22,17,0,Joe Flacco pass incomplete short middle intended for Terrance West is intercepted by Nick Vigil at BAL-26,-0.340,-3.840
3,14:06,1,10,BAL 26,17,0,Jeremy Hill right guard for 3 yards (tackle by C.J. Mosley and Tony Jefferson),3.840,3.700
3,13:25,2,7,BAL 23,17,0,Andy Dalton pass complete short right to Jeremy Hill for -2 yards (tackle by Kamalei Correa),3.700,2.740
3,12:51,3,9,BAL 25,17,0,Andy Dalton pass complete short right to Tyler Boyd for 11 yards (tackle by Brandon Carr),2.740,4.650
3,12:15,1,10,BAL 14,17,0,Jeremy Hill right end for 2 yards (tackle by Kamalei Correa),4.650,4.330
3,11:37,2,8,BAL 12,17,0,Andy Dalton pass complete short right to A.J. Green for 6 yards (tackle by Terrell Suggs),4.330,4.730
3,10:57,3,2,BAL 6,17,0,"Andy Dalton sacked by Terrell Suggs for -8 yards. Andy Dalton fumbles (forced by Terrell Suggs), recovered by Michael Pierce at BAL-12 (tackle by Cedric Ogbuehi)",4.730,0.350
3,10:44,1,10,BAL 12,17,0,Terrance West left end for 7 yards (tackle by Kevin Minter and Pat Sims),-0.350,0.100
3,10:02,2,3,BAL 19,17,0,Terrance West left guard for 2 yards (tackle by Dre Kirkpatrick),0.100,-0.370
3,9:22,3,1,BAL 21,17,0,Terrance West left end for 7 yards (tackle by Clayton Fejedelem),-0.370,0.810
3,8:39,1,10,BAL 28,17,0,"Javorius Allen middle for no gain (tackle by Andrew Billings). Penalty on Andrew Billings: Unnecessary Roughness, 15 yards (no play)",0.810,1.800
3,8:20,1,10,BAL 43,17,0,Javorius Allen left guard for 6 yards (tackle by Vincent Rey and Geno Atkins),1.800,2.060
3,7:44,2,4,BAL 49,17,0,Javorius Allen right guard for 3 yards (tackle by Kevin Minter),2.060,0.000
3,7:02,,,,,,Timeout #1 by Baltimore Ravens,0.000,-1.750
3,7:02,3,1,CIN 48,17,0,Terrance West right tackle for 2 yards (tackle by Vincent Rey),1.750,2.520
3,6:29,1,10,CIN 46,17,0,Terrance West left tackle for 2 yards (tackle by Dre Kirkpatrick and Clayton Fejedelem),2.520,2.250
3,5:47,2,8,CIN 44,17,0,Javorius Allen left guard for 4 yards (tackle by Geno Atkins and Vincent Rey),2.250,0.000
3,5:03,,,,,,Timeout #2 by Baltimore Ravens,0.000,-2.080
3,5:03,3,4,CIN 40,17,0,Javorius Allen left guard for 6 yards (tackle by Josh Shaw),2.080,3.310
3,4:25,1,10,CIN 34,17,0,Javorius Allen left end for no gain (tackle by Darqueze Dennard and Kevin Minter),3.310,2.770
3,3:41,2,10,CIN 34,17,0,Terrance West middle for 4 yards (tackle by Andrew Billings),2.770,2.610
3,3:02,3,6,CIN 30,17,0,"Joe Flacco pass incomplete short left intended for Jeremy Maclin (defended by William Jackson). Penalty on William Jackson: Defensive Pass Interference, 7 yards (no play)",2.610,4.040
3,2:57,1,10,CIN 23,17,0,Javorius Allen left guard for 7 yards (tackle by Nick Vigil),4.040,4.560
3,2:21,2,3,CIN 16,17,0,Javorius Allen right guard for 1 yard (tackle by Vincent Rey),4.560,4.050
3,2:01,3,2,CIN 15,17,0,"Joe Flacco pass incomplete short left intended for Nick Boyle. Penalty on Nick Vigil: Defensive Holding, 5 yards (no play)",4.050,4.910
3,1:58,1,10,CIN 10,17,0,Joe Flacco pass incomplete short middle intended for Jeremy Maclin (defended by Dre Kirkpatrick),4.910,4.190
3,1:54,2,10,CIN 10,17,0,Terrance West right end for 3 yards (tackle by Kevin Minter and Vincent Rey),4.190,3.810
3,1:12,3,7,CIN 7,17,0,Joe Flacco pass incomplete short middle intended for Javorius Allen,3.810,2.970
3,1:09,4,7,CIN 7,20,0,Justin Tucker 25 yard field goal good,2.970,3.000
3,1:06,,,BAL 35,20,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
3,1:06,1,10,CIN 25,20,0,Andy Dalton pass complete short right to Brandon LaFell for 5 yards (tackle by Jimmy Smith),0.610,0.740
3,0:39,2,5,CIN 30,20,0,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Brandon Carr),0.740,0.000
3,0:34,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-0.040
3,0:34,3,5,CIN 30,20,0,Andy Dalton pass incomplete short left intended for Tyler Boyd,0.040,-1.370
3,0:31,4,5,CIN 30,20,0,"Kevin Huber punts 53 yards, returned by Michael Campanaro for 14 yards (tackle by Jordan Evans). Penalty on Chris Moore: Offensive Holding, 10 yards",-1.370,0.220
3,0:18,1,10,BAL 15,20,0,Terrance West right end for 11 yards (tackle by Dre Kirkpatrick and George Iloka),-0.220,0.670
Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 26,20,0,Terrance West left tackle for 2 yards (tackle by Pat Sims),0.670,0.400
4,14:22,2,8,BAL 28,20,0,Javorius Allen left end for -3 yards (tackle by Jordan Willis and Vincent Rey),0.400,-0.690
4,13:31,3,11,BAL 25,20,0,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",-0.690,-1.350
4,13:15,3,16,BAL 20,20,0,Javorius Allen left guard for 4 yards (tackle by Geno Atkins),-1.350,-1.770
4,12:34,4,12,BAL 24,20,0,"Sam Koch punts 47 yards, returned by Alex Erickson for 1 yard (tackle by Kamalei Correa)",-1.770,-0.940
4,12:23,1,10,CIN 30,20,0,Andy Dalton pass complete short left to Joe Mixon for 4 yards (tackle by Brandon Carr),0.940,0.930
4,11:55,2,6,CIN 34,20,0,Andy Dalton sacked by Terrell Suggs for -5 yards,0.930,-0.430
4,11:16,3,11,CIN 29,20,0,Andy Dalton pass complete deep middle to A.J. Green for 27 yards (tackle by Tony Jefferson),-0.430,2.650
4,10:40,1,10,BAL 44,20,0,Andy Dalton pass incomplete deep left intended for Cody Core,2.650,2.110
4,10:34,2,10,BAL 44,20,0,Joe Mixon middle for 1 yard (tackle by Lardarius Webb),2.110,1.550
