Unnamed: 0,WAS,ARI
First Downs,19,22
Rush-Yds-TDs,23-117-1,32-160-2
Cmp-Att-Yd-TD-INT,19-33-223-1-0,26-38-286-1-1
Sacked-Yards,4-24,3-8
Net Pass Yards,199,278
Total Yards,316,438
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,6-42,11-97
Third Down Conv.,4-12,7-17
Fourth Down Conv.,1-1,2-2
Time of Possession,26:15,33:45
