Quarter,Time,Tm,Detail,WAS,ARI
1.0,9:09,Cardinals,DeAndre Hopkins 4 yard pass from Kyler Murray (Zane Gonzalez kick),0,7
,0:00,Cardinals,Kyler Murray 14 yard rush (Zane Gonzalez kick),0,14
2.0,11:29,Cardinals,Zane Gonzalez 49 yard field goal,0,17
,1:49,Cardinals,Zane Gonzalez 33 yard field goal,0,20
3.0,3:14,Washington,Dustin Hopkins 24 yard field goal,3,20
4.0,14:17,Cardinals,Kyler Murray 21 yard rush (Zane Gonzalez kick),3,27
,12:20,Washington,Terry McLaurin 24 yard pass from Dwayne Haskins (run failed),9,27
,6:38,Washington,Antonio Gibson 11 yard rush (pass failed),15,27
,0:26,Cardinals,Zane Gonzalez 28 yard field goal,15,30
