Unnamed: 0,BAL,NWE
First Downs,28,29
Rush-Yds-TDs,28-136-0,13-14-1
Cmp-Att-Yd-TD-INT,28-45-292-4-2,34-51-418-4-1
Sacked-Yards,0-0,2-10
Net Pass Yards,292,408
Total Yards,428,422
Fumbles-Lost,1-0,2-0
Turnovers,2,1
Penalties-Yards,7-65,7-60
Third Down Conv.,1-9,6-11
Fourth Down Conv.,3-3,0-0
Time of Possession,32:39,27:21
