Quarter,Time,Tm,Detail,MIA,NWE
1.0,11:39,Patriots,Rex Burkhead 2 yard rush (Stephen Gostkowski kick),0,7
,5:33,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2.0,13:19,Dolphins,Reshad Jones 14 yard fumble return (Cody Parkey kick),7,14
,8:29,Patriots,Rex Burkhead 1 yard pass from Tom Brady (Stephen Gostkowski kick),7,21
,4:06,Dolphins,Cody Parkey 28 yard field goal,10,21
3.0,10:28,Patriots,Rob Gronkowski 15 yard pass from Tom Brady (Stephen Gostkowski kick),10,28
4.0,11:43,Dolphins,Kenyan Drake 8 yard pass from Matt Moore (Cody Parkey kick),17,28
,6:31,Patriots,Brandin Cooks 5 yard pass from Tom Brady (Stephen Gostkowski kick),17,35
