Unnamed: 0,JAX,IND
First Downs,15,15
Rush-Yds-TDs,24-179-2,27-127-1
Cmp-Att-Yd-TD-INT,16-35-162-0-0,22-34-180-0-0
Sacked-Yards,3-10,1-12
Net Pass Yards,152,168
Total Yards,331,295
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,8-79,7-47
Third Down Conv.,5-15,4-15
Fourth Down Conv.,0-0,0-0
Time of Possession,27:44,32:16
