Unnamed: 0,NOR,SFO
First Downs,14,21
Rush-Yds-TDs,22-63-0,29-96-0
Cmp-Att-Yd-TD-INT,18-30-204-0-0,26-37-222-1-0
Sacked-Yards,1-7,1-1
Net Pass Yards,197,221
Total Yards,260,317
Fumbles-Lost,2-2,0-0
Turnovers,2,0
Penalties-Yards,6-46,7-64
Third Down Conv.,4-11,5-13
Fourth Down Conv.,0-1,1-2
Time of Possession,25:10,34:50
