Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,7,13,0,2,6,0.9,7,1.0,0,
Taysom Hill,NOR,6,13,0,,4,0.7,9,1.5,0,
Andy Dalton,NOR,4,21,0,0,18,4.5,3,0.8,0,
Mark Ingram,NOR,4,10,0,1,8,2.0,2,0.5,0,
Rashid Shaheed,NOR,1,6,0,1,6,6.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,SFO,11,32,0,2,14,1.3,18,1.6,0,
Elijah Mitchell,SFO,7,35,0,1,8,1.1,27,3.9,0,
Jordan Mason,SFO,5,25,0,2,11,2.2,14,2.8,0,
Jimmy Garoppolo,SFO,4,4,0,1,0,0.0,4,1.0,0,
Deebo Samuel,SFO,2,0,0,0,-3,-1.5,3,1.5,0,
