Quarter,Time,Tm,Detail,NOR,SFO
1,8:01,49ers,Robbie Gould 24 yard field goal,0,3
2,0:13,49ers,Jauan Jennings 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,10
3,10:25,49ers,Robbie Gould 46 yard field goal,0,13
