Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 57 yards, returned by Aaron Brown for 14 yards (tackle by Adrian Peterson)",0.000,0.740
1,14:55,1,10,DET 27,0,0,Matthew Stafford pass complete deep left to Calvin Johnson for 45 yards (tackle by Zackary Bowman),0.740,3.710
1,14:32,1,10,CHI 28,0,0,Kevin Smith right end for no gain (tackle by Nick Roach),3.710,3.170
1,13:57,2,10,CHI 28,0,0,Matthew Stafford pass complete short left to Calvin Johnson for 1 yard (tackle by Danieal Manning),3.170,2.610
1,13:15,3,9,CHI 27,0,0,Matthew Stafford pass complete short right to Casey Fitzsimmons for 5 yards (tackle by Charles Tillman),2.610,2.070
1,12:52,4,4,CHI 22,0,0,"Jason Hanson 40 yard field goal good. Penalty on Al Afalava: Defensive Offside, 5 yards (no play)",2.070,4.440
1,12:47,1,10,CHI 17,0,0,Matthew Stafford pass incomplete deep right intended for Calvin Johnson,4.440,3.850
1,12:42,2,10,CHI 17,0,0,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",3.850,3.220
1,12:42,2,15,CHI 22,0,0,"Kevin Smith right guard for -3 yards (tackle by Alex Brown). Penalty on Alex Brown: Unnecessary Roughness, 13 yards",3.220,4.780
1,12:15,1,10,CHI 12,0,0,Matthew Stafford pass complete short left to Bryant Johnson for 9 yards (tackle by Zackary Bowman),4.780,5.790
1,11:36,2,1,CHI 3,0,0,Jerome Felton left guard for 2 yards (tackle by Anthony Adams),5.790,6.970
1,10:55,1,1,CHI 1,6,0,"Kevin Smith right guard for 1 yard, touchdown",6.970,7.000
1,,,,CHI 2,7,0,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,7,0,"Jason Hanson kicks off 63 yards, returned by Johnny Knox for 20 yards (tackle by Will Peterson)",0.000,0.740
