Quarter,Time,Tm,Detail,DET,CHI
1.0,10:50,Lions,Kevin Smith 1 yard rush (Jason Hanson kick),7,0
,8:51,Bears,Jay Cutler 5 yard rush (Robbie Gould kick),7,7
,5:03,Lions,Will Heller 14 yard pass from Matthew Stafford (Jason Hanson kick),14,7
2.0,14:14,Bears,Kellen Davis 2 yard pass from Jay Cutler (Robbie Gould kick),14,14
,10:54,Bears,Greg Olsen 1 yard pass from Jay Cutler (Robbie Gould kick),14,21
,0:26,Lions,Kevin Smith 3 yard rush (Jason Hanson kick),21,21
3.0,14:48,Bears,Johnny Knox 102 yard kickoff return (Robbie Gould kick),21,28
,10:18,Bears,Robbie Gould 52 yard field goal,21,31
,2:33,Bears,Robbie Gould 22 yard field goal,21,34
4.0,8:15,Lions,Jason Hanson 35 yard field goal,24,34
,6:46,Bears,Matt Forte 37 yard rush (Robbie Gould kick),24,41
,1:57,Bears,Garrett Wolfe 2 yard rush (Robbie Gould kick),24,48
